total_sales_amount,export_sales_value,output_vat,input_vat,net_refund_amount,sales_invoice_count,supporting_docs_count,submitted_by,zero_rated_sales,exempt_sales,business_age_years,is_fraud,claim_id,taxpayer_id,period_start,period_end,claim_date,fraud_type,processing_days
210369.07775221876,169858.83718082265,6481.638491423377,22099.460361033947,15617.82186961057,10,15,Tax Agent,152872.95346274038,13721.01497158643,13.900532211716538,0,CLM_544718,TPIN_35657039,2024-05-23,2024-08-20,2024-08-26,,31
5018787.817842493,3027788.142773043,318559.948011112,530680.0079052144,212120.05989410245,196,27,Self,2725009.3284957386,333264.0897224081,3.3792032358596487,0,CLM_148037,TPIN_64472962,2024-01-12,2024-04-10,2024-04-17,,38
351826.95806750865,270743.22307687014,12973.39759850216,36740.41553249485,23767.01793399269,10,18,Self,243668.90076918312,32004.465982180198,9.026118452215174,0,CLM_641816,TPIN_17340100,2024-07-15,2024-10-12,2024-11-10,,22
1175804.808600614,593379.2558328717,93188.0884428388,139065.35744134279,45877.26899850399,33,28,Tax Agent,534041.3302495845,50037.94517758996,5.3620545289226715,0,CLM_843766,TPIN_21701980,2024-12-08,2025-03-07,2025-04-02,,45
1972415.9834636494,1641905.65920285,52881.651881727914,261284.97555382113,208403.32367209322,119,13,Tax Agent,1477715.093282565,113161.95244737035,3.8723105323118383,0,CLM_449706,TPIN_92911814,2024-09-02,2024-11-30,2024-12-27,,51
1023335.1125627353,725175.9469333428,47705.4665007028,130761.17261958875,83055.70611888595,22,19,Self,652658.3522400085,44945.96300686262,15.470405365983316,0,CLM_938357,TPIN_73105480,2024-07-31,2024-10-28,2024-11-10,,52
1233313.641130242,881527.2086421968,56285.82919808723,159482.0894703318,103196.26027224456,60,10,Self,793374.4877779771,84085.24236835388,3.2720274255454127,0,CLM_929884,TPIN_93374649,2024-07-27,2024-10-24,2024-11-08,,31
196671.92628286907,27357.836927798504,31011.74553198084,25153.621330678558,0.0,15,16,Tax Agent,24622.053235018655,9827.511341506146,9.072061324961224,0,CLM_936918,TPIN_86640144,2024-11-04,2025-02-01,2025-02-25,,30
132589.55908517676,76548.68503798357,8966.539847550912,17770.95056527421,8804.410717723296,10,19,Self,68893.81653418521,12979.451232579448,6.274748762519597,0,CLM_691293,TPIN_39397621,2024-04-30,2024-07-28,2024-08-14,,13
380599.1602263134,340468.56805665116,6420.894747145959,43259.00321093061,36838.10846378465,13,14,Tax Agent,306421.71125098603,333.9664407757518,11.31933182788032,0,CLM_168008,TPIN_84247061,2024-07-29,2024-10-26,2024-11-19,,37
200516.2736558255,13012.122248029435,30000.664225247372,101679.75148835113,71679.08726310376,12,2,Self,10409.69779842355,9721.289810146882,1.0049876122943155,1,CLM_391547,TPIN_25403461,2024-04-15,2024-07-13,2024-07-27,inflated_inputs,19
8563690.32126652,7207025.235664489,217066.41369632512,881099.0060948464,664032.5923985213,498,28,Tax Agent,6486322.71209804,25942.181040350464,9.891917209307454,0,CLM_678621,TPIN_68411498,2024-10-01,2024-12-29,2025-01-16,,29
6287480.630816946,921422.0485763475,766981.5442687524,704672.4599618757,0.0,204,13,Tax Agent,829279.8437187128,465628.6353360481,3.4140409566270886,0,CLM_881163,TPIN_57994791,2024-09-24,2024-12-22,2025-01-03,,47
1532940.9534424972,1221239.3680850733,49872.25365718782,192198.19823916332,142325.9445819755,58,22,Tax Agent,1099115.431276566,107334.61870880166,7.661316299763895,0,CLM_517799,TPIN_57447108,2024-09-15,2024-12-13,2024-12-19,,36
533234.9441243652,80259.24173200974,69153.17045636877,57049.47345626075,0.0,14,28,Tax Agent,72233.31755880878,26341.12264019673,5.571381821484129,0,CLM_684819,TPIN_40780850,2024-08-11,2024-11-08,2024-11-22,,43
101033.60593799295,76299.98131955223,3957.379938950515,11781.22637598879,7823.846437038275,10,16,Tax Agent,68669.98318759701,3645.0148529077373,5.145921970892789,0,CLM_655689,TPIN_95661847,2024-06-20,2024-09-17,2024-10-15,,23
104966.4356677694,59674.78896323112,7246.663472726125,13595.99137838318,6349.3279056570545,17,8,Tax Agent,53707.31006690801,5092.028227251021,9.335618842765612,0,CLM_382224,TPIN_93113584,2024-07-26,2024-10-23,2024-10-28,,51
203599.38181123987,141569.828598538,9924.728514032298,24861.02405087041,14936.29553683811,19,11,Tax Agent,127412.8457386842,8086.000347316707,19.52746785412329,0,CLM_585951,TPIN_36706369,2024-03-23,2024-06-20,2024-07-03,,11
990230.1983003139,559042.7438034719,68989.99271949472,95581.64017491887,26591.647455424143,23,18,Tax Agent,503138.46942312474,43532.2256847913,19.779919978468204,0,CLM_816743,TPIN_41998335,2024-12-27,2025-03-26,2025-04-23,,57
245444.57967602552,144008.6453672855,16229.749489398404,30136.777785185903,13907.028295787499,10,24,Tax Agent,129607.78083055695,8732.749470964205,9.808008939328765,0,CLM_192416,TPIN_64266388,2024-12-02,2025-03-01,2025-03-17,,18
574377.4557860034,93733.84809219504,81901.15602362776,66973.7977943629,0.0,67,9,Self,84360.46328297554,12225.668428604462,6.7189503873583885,0,CLM_934495,TPIN_29717855,2024-12-28,2025-03-27,2025-04-22,,53
1884764.0426844948,1506370.796219009,60542.91943447773,231179.6248751453,170636.70544066757,60,8,Tax Agent,1355733.7165971082,46843.171990635514,18.10478819768358,0,CLM_101223,TPIN_14384679,2024-11-17,2025-02-14,2025-03-09,,22
1040730.0825141756,124995.17504322782,161713.68878723343,136908.32204216678,0.0,23,21,Tax Agent,112495.65753890504,16675.490729052664,15.048436571342178,0,CLM_998740,TPIN_18837528,2024-07-30,2024-10-27,2024-11-09,,40
1280899.7252044715,28324.46594464455,187359.85971665868,149209.16420093435,0.0,26,17,Tax Agent,25492.019350180097,91864.44899693498,12.308070497440177,0,CLM_989572,TPIN_15343046,2024-01-07,2024-04-05,2024-05-01,,14
1092181.2637560708,243830.88604612395,135736.06043359148,144038.93532476234,8302.874891170854,23,25,Tax Agent,219447.79744151156,21255.950313946774,13.834896139728956,0,CLM_497046,TPIN_71791056,2024-02-11,2024-05-10,2024-05-28,,39
302306.1769339222,206260.77175643272,15367.264828398322,41079.332112276265,25712.067283877943,10,14,Tax Agent,185634.69458078945,3078.6057408149236,6.099687255679189,0,CLM_844075,TPIN_50769262,2024-06-25,2024-09-22,2024-10-17,,53
488802.1318526148,363380.83720010356,20067.4071444018,53758.58304873543,33691.175904333635,48,25,Self,327042.7534800932,4342.530119311026,9.523818809668718,0,CLM_788725,TPIN_69509024,2024-08-05,2024-11-02,2024-11-11,,46
427161.67073297576,220135.8638114757,33124.129107440014,55886.367390585656,22762.23828314564,15,21,Tax Agent,198122.27743032813,5987.3300702778715,17.36958788345366,0,CLM_940268,TPIN_49683458,2024-02-24,2024-05-23,2024-06-15,,17
393013.1317204101,290257.45234413317,16440.908700204305,43139.8234313152,26698.914731110894,22,11,Tax Agent,261231.70710971986,34966.917548070596,9.55709808239138,0,CLM_552827,TPIN_65165087,2024-07-29,2024-10-26,2024-11-19,,30
297847.2060440129,164647.90990332965,21311.88738250932,39980.99346309761,18669.10608058829,10,22,Tax Agent,148183.1189129967,19545.92186986449,16.21762593283537,0,CLM_597125,TPIN_90418563,2024-12-09,2025-03-08,2025-03-28,,20
276460.220892253,16538.812309440505,34647.289740635875,29464.818679879765,0.0,34,9,Self,14884.931078496455,21685.69103935022,13.366258266494372,0,CLM_848728,TPIN_72565460,2024-07-04,2024-10-01,2024-10-06,,41
363395.9914470305,62991.535766363864,48064.712908906666,119316.8853197051,71252.17241079843,19,4,Self,50393.228613091094,164.67467755587157,1.62970623412733,1,CLM_317307,TPIN_19065146,2024-03-23,2024-06-20,2024-07-12,inflated_inputs,8
1574223.168313542,96455.15050964378,216536.17059262516,166691.6651799523,0.0,163,24,Self,86809.6354586794,124920.4963511968,13.046743451787451,0,CLM_745687,TPIN_41227450,2024-10-17,2025-01-14,2025-02-07,,10
302090.5911206696,77142.5226705847,35991.69095201359,37228.78091340702,1237.0899613934307,10,20,Self,69428.27040352623,15174.062280936334,14.603863859216016,0,CLM_323059,TPIN_55656224,2024-12-01,2025-02-28,2025-03-11,,48
537004.9318107307,355905.05166649236,28975.98082307814,56293.133118061756,27317.152294983618,18,18,Tax Agent,320314.5464998431,12834.293296492697,5.817462274592799,0,CLM_248469,TPIN_54280462,2024-03-03,2024-05-31,2024-06-22,,43
100261.35630451982,85048.46145376818,2434.0631761202635,12803.75544412492,10369.692268004655,10,20,Tax Agent,76543.61530839137,5557.862702778493,6.776662008835558,0,CLM_282220,TPIN_10113936,2024-09-06,2024-12-04,2024-12-28,,51
2011561.9305056343,1610454.3230432186,64177.217193986515,418404.8815451719,354227.6643511854,37,8,Self,1288363.458434575,10501.816535009153,1.7000795546485197,1,CLM_980957,TPIN_29508886,2024-07-27,2024-10-24,2024-10-31,carousel,21
1769982.3702534412,275348.23989181605,246558.39256489524,212670.27517212403,0.0,42,8,Self,247813.41590263444,90315.58880094178,13.052784925506144,0,CLM_918838,TPIN_16120632,2024-02-24,2024-05-23,2024-06-19,,28
573070.4064912645,490694.8305599,13180.09214901832,75605.29651239117,62425.20436337285,29,4,Self,392555.86444792,11062.205377821147,1.4962257035606432,1,CLM_763151,TPIN_13539429,2024-08-14,2024-11-11,2024-11-30,fake_exports,29
426164.48878422077,69347.51613007438,57090.71562466342,122334.70175839883,65243.986133735416,14,2,Self,55478.012904059506,5521.131561512406,2.1495252870034904,1,CLM_341921,TPIN_44887168,2024-01-05,2024-04-03,2024-04-21,inflated_inputs,5
773977.4281156583,619344.1621853475,24741.322548849734,84799.67945186024,60058.356903010506,20,15,Self,557409.7459668128,57254.97617299816,19.583016773243408,0,CLM_111952,TPIN_70288658,2024-06-05,2024-09-02,2024-09-22,,52
1205232.6920390984,755065.7194610767,72026.71561248347,250688.39994413248,178661.684331649,45,14,Self,604052.5755688613,58524.39828095062,3.703566303694558,1,CLM_696269,TPIN_84988678,2024-10-15,2025-01-12,2025-02-07,carousel,26
153984.63927226193,76173.49645412747,12449.782850901514,23606.17090769171,11156.388056790196,4,3,Self,60938.79716330198,2687.3475906317803,1.0631714087037805,1,CLM_335514,TPIN_84470141,2024-06-02,2024-08-30,2024-09-14,ghost_business,12
62405.70837613054,6923.867211934291,8877.0945862714,20763.31606800143,11886.22148173003,17,3,Self,5539.093769547433,3024.399835535642,2.993645822098996,1,CLM_898053,TPIN_43596801,2024-07-14,2024-10-11,2024-10-28,inflated_inputs,6
692750.5298508652,571160.114225873,19454.466499998754,89243.98813120952,69789.52163121077,20,8,Self,514044.10280328576,13563.441236538729,18.296311555209147,0,CLM_208940,TPIN_40185054,2024-12-05,2025-03-04,2025-04-01,,59
625961.9857506074,451262.7387943801,27951.879512996376,81430.99229819824,53479.11278520186,25,6,Self,361010.1910355041,26433.471635114296,1.1544470982228294,1,CLM_676226,TPIN_96669868,2024-09-06,2024-12-04,2024-12-15,fake_exports,27
9045988.616593516,7264499.178323103,285038.310123266,1072300.806868882,787262.496745616,500,15,Tax Agent,6538049.260490793,246966.34038486067,16.27242453589966,0,CLM_329632,TPIN_73695064,2024-04-30,2024-07-28,2024-08-09,,51
118164.06243348148,5302.838098338129,14249.667311977157,13160.497288054636,0.0,10,29,Tax Agent,4772.554288504317,6434.199156311067,18.299766505692176,0,CLM_557749,TPIN_66826747,2024-10-27,2025-01-24,2025-02-07,,32
1847388.6255122367,349091.99686730816,292230.2449842745,232092.43264287093,0.0,247,17,Tax Agent,314182.79718057736,97275.27464579318,13.749021912002119,0,CLM_522768,TPIN_95719265,2024-01-23,2024-04-21,2024-05-20,,52
342406.0009917773,183479.18331950295,25428.290827563895,46008.89487196408,20580.60404440019,10,16,Tax Agent,165131.26498755265,12251.74142047228,12.397905860953946,0,CLM_388988,TPIN_72806935,2024-06-20,2024-09-17,2024-10-04,,10
84948.82677224597,43749.33212774734,6591.919143119781,11161.943421387567,4570.024278267785,2,4,Self,34999.46570219787,639.5818154435434,0.1647871147213487,1,CLM_443227,TPIN_65142979,2024-10-14,2025-01-11,2025-01-18,ghost_business,20
1123683.3523658798,696679.8447081256,68320.56122524067,110055.0510518364,41734.48982659573,29,10,Tax Agent,627011.8602373131,79270.11485869708,19.000725951682092,0,CLM_317790,TPIN_62965561,2024-03-04,2024-06-01,2024-06-12,,22
2697065.3466379945,1939747.700212714,121170.82342804488,560989.5921007029,439818.768672658,43,13,Self,1551798.1601701714,41636.349002772746,3.5505738455496347,1,CLM_890698,TPIN_25766353,2024-05-31,2024-08-28,2024-09-25,carousel,15
412323.0590999229,77026.11968324997,47990.31476398672,42126.597336655774,0.0,31,28,Self,69323.50771492497,37946.10228530422,17.264502247831064,0,CLM_809002,TPIN_46066080,2024-08-01,2024-10-29,2024-11-17,,52
1701175.1200608392,1186391.8487674214,82365.32340694685,171167.31130341705,88801.98789647021,68,16,Tax Agent,1067752.6638906794,66815.51034069648,17.528133265974006,0,CLM_916831,TPIN_26660146,2024-09-22,2024-12-20,2025-01-01,,57
1873914.5059310785,1152782.8032349022,115381.0724313882,193802.18521988153,78421.11278849334,54,14,Tax Agent,1037504.5229114121,47260.57398370337,7.747703840384733,0,CLM_564952,TPIN_72887188,2024-09-02,2024-11-30,2024-12-10,,23
5739212.089998958,1056149.4183303448,764802.0130278752,589310.0903539748,0.0,372,27,Self,950534.4764973103,476723.35803415586,6.150245524490342,0,CLM_963561,TPIN_77411050,2024-07-16,2024-10-13,2024-10-24,,16
7573472.26812081,5420180.619296602,344526.66381187335,881708.2138290392,537181.550017166,500,23,Self,4878162.557366942,34254.535547158725,6.730656941952951,0,CLM_803332,TPIN_39632222,2024-05-20,2024-08-17,2024-08-22,,50
781116.9319756654,530605.4150463587,40081.842708689066,93766.08504814177,53684.24233945271,39,16,Tax Agent,477544.87354172283,58328.06636515892,8.229997767694073,0,CLM_361745,TPIN_15963523,2024-01-28,2024-04-26,2024-05-23,,14
1922554.3291833785,1031508.6389552219,142567.31043650507,196980.89351037357,54413.5830738685,39,27,Self,928357.7750596997,102691.2585194379,2.4327422725958807,0,CLM_555229,TPIN_33231075,2024-03-27,2024-06-24,2024-07-07,,14
1492215.1532844305,402365.85988669813,174375.88694363716,190046.18135663492,15670.294412997755,37,26,Self,362129.2738980283,90942.51639022911,2.9567735378674342,0,CLM_786066,TPIN_78584649,2024-10-06,2025-01-03,2025-01-26,,34
701445.4465927801,612398.3404259317,14247.536986695734,92437.07699965141,78189.54001295568,51,12,Tax Agent,551158.5063833386,24870.998363024737,3.722351731506313,0,CLM_682927,TPIN_78639384,2024-09-23,2024-12-21,2025-01-02,,45
243643.97718703886,144273.7637795257,15899.234145202106,29036.56950445648,13137.335359254375,10,29,Self,129846.38740157314,5250.177395681146,7.679854525608474,0,CLM_916570,TPIN_30173871,2024-07-05,2024-10-02,2024-10-08,,58
272312.03754272655,53505.0764670623,34403.243728813686,27872.413346099198,0.0,10,26,Tax Agent,48154.56882035607,22137.688340340952,8.380811914085537,0,CLM_354599,TPIN_94269718,2024-07-09,2024-10-06,2024-10-14,,32
7106164.750746803,5021773.867920387,333502.5412522267,868973.4704678645,535470.9292156379,288,10,Tax Agent,4519596.481128348,538537.9316672467,8.407508215722709,0,CLM_455612,TPIN_73362116,2024-04-27,2024-07-25,2024-08-14,,35
266256.87467436225,165283.3961270341,16155.756567572505,33666.45971726364,17510.703149691137,12,28,Self,148755.0565143307,24726.2185654779,13.176354623918744,0,CLM_581725,TPIN_77042893,2024-03-24,2024-06-21,2024-07-15,,22
292456.040741927,208531.61908497405,13427.90746511247,28682.02416707821,15254.116701965739,14,17,Tax Agent,187678.45717647666,5899.729231013923,11.88059563800159,0,CLM_105287,TPIN_29931456,2024-11-15,2025-02-12,2025-02-22,,17
6815902.35717768,5549828.739171363,202571.77888101072,852425.311339387,649853.5324583763,186,27,Tax Agent,4994845.865254227,318890.67344129586,10.534883141326256,0,CLM_321099,TPIN_66301336,2024-02-01,2024-04-30,2024-05-17,,12
1485094.227082412,1163580.6267152461,51442.17605874654,143065.8800268105,91623.70396806397,100,24,Tax Agent,1047222.5640437215,14163.581596331924,13.375796247131403,0,CLM_799895,TPIN_83741006,2024-03-02,2024-05-30,2024-06-07,,18
125695.43034285036,92647.39003510168,5287.68644923979,16214.888092421841,10927.201643182052,10,9,Tax Agent,83382.65103159151,8058.159367658069,18.713999592094446,0,CLM_656107,TPIN_25269936,2024-03-24,2024-06-21,2024-06-28,,54
254325.00870371575,199819.6432298837,8720.85847581313,25122.31359170256,16401.455115889432,10,20,Tax Agent,179837.67890689534,18211.27422933384,19.470319987292488,0,CLM_941908,TPIN_36617011,2024-09-08,2024-12-06,2025-01-01,,12
2257299.799816402,1937525.1937551736,51163.93696979657,275578.6251635021,224414.68819370554,59,15,Tax Agent,1743772.6743796563,121263.39948910536,12.592750946798468,0,CLM_989192,TPIN_67325744,2024-04-23,2024-07-21,2024-07-30,,11
337276.7030231783,242207.53024463562,15211.067644566834,35680.29299414173,20469.225349574896,10,15,Tax Agent,217986.77722017205,4420.20490535116,13.619611835842676,0,CLM_571091,TPIN_31005861,2024-02-11,2024-05-10,2024-06-02,,49
381474.3909843183,61878.78662527974,42302.99625448513,38094.55866356654,0.0,68,27,Tax Agent,55690.907962751764,11338.861167315865,12.77043471735966,0,CLM_591450,TPIN_59375565,2024-04-30,2024-07-28,2024-08-20,,21
486527.39676283987,273059.1236204721,34154.92370277885,61158.46560114845,27003.5418983696,23,24,Tax Agent,245753.21125842488,24368.451619604362,7.515410012371038,0,CLM_148110,TPIN_53887462,2024-06-20,2024-09-17,2024-09-27,,35
7782514.42566787,4101909.2138931653,588896.8338839527,967470.8590715033,378574.0251875506,264,13,Tax Agent,3691718.2925038487,333582.3415079637,17.244537105594077,0,CLM_488612,TPIN_45210753,2024-03-21,2024-06-18,2024-07-16,,52
