transaction_id,claim_id,taxpayer_id,supplier_tpin,supplier_name,supplier_verified,invoice_number,invoice_date,gross_amount,vat_amount,net_amount,description,payment_method,payment_verified
PUR00010015-0002,CLM00010015,TPIN1000000015,TPIN1000000350,Supplier 0350,Yes,INV-8890,2024-08-21,52140,8342,43797,Equipment,Cheque,No
PUR00010016-0001,CLM00010016,TPIN1000000016,TPIN1000000232,Supplier 0232,Yes,INV-629004,2024-07-16,13481,2157,11324,Services,Cash,No
PUR00010017-0001,CLM00010017,TPIN1000000017,TPIN1000000040,Supplier 0040,Yes,INV-798063,2024-08-10,27888,4462,23426,Goods for Resale,Cheque,Yes
PUR00010017-0002,CLM00010017,TPIN1000000017,TPIN1000000352,Supplier 0352,No,INV-772735,2024-09-29,25240,4038,21202,Goods for Resale,Bank Transfer,Yes
PUR00010018-0001,CLM00010018,TPIN1000000018,TPIN1000000204,Supplier 0204,No,INV-613021,2024-06-23,36343,5815,30528,Equipment,Cash,No
PUR00010018-0002,CLM00010018,TPIN1000000018,TPIN1000000292,Supplier 0292,Yes,INV-282115,2024-06-05,21735,3478,18258,Raw Materials,Bank Transfer,No
PUR00010019-0001,CLM00010019,TPIN1000000019,TPIN1000000672,Supplier 0672,Yes,INV-219808,2024-06-08,52444,8391,44053,Equipment,Cash,No
PUR00010020-0001,CLM00010020,TPIN1000000020,TPIN1000000016,Supplier 0016,Yes,INV-466301,2023-12-06,58030,9285,48745,Equipment,Cash,No
PUR00010021-0001,CLM00010021,TPIN1000000021,TPIN1000000818,Supplier 0818,Yes,INV-698864,2024-11-19,35493,5679,29814,Goods for Resale,Bank Transfer,Yes
PUR00010022-0001,CLM00010022,TPIN1000000022,TPIN1000000722,Supplier 0722,Yes,INV-399437,2024-09-11,14125,2260,11865,Raw Materials,Bank Transfer,No
PUR00010023-0001,CLM00010023,TPIN1000000023,TPIN1000000835,Supplier 0835,No,INV-751592,2024-08-01,30206,4833,25373,Equipment,Bank Transfer,No
PUR00010024-0001,CLM00010024,TPIN1000000024,TPIN1000000032,Supplier 0032,Yes,INV-730326,2024-05-18,31955,5113,26842,Services,Cash,Yes
PUR00010025-0001,CLM00010025,TPIN1000000025,TPIN1000000923,Supplier 0923,Yes,INV-996030,2023-10-13,48014,7682,40332,Equipment,Cash,Yes
PUR00010025-0002,CLM00010025,TPIN1000000025,TPIN1000000049,Supplier 0049,Yes,INV-241875,2023-11-28,34761,5562,29199,Goods for Resale,Cash,Yes
PUR00010026-0001,CLM00010026,TPIN1000000026,TPIN1000000298,Supplier 0298,Yes,INV-727368,2024-03-01,27247,4360,22888,Raw Materials,Cheque,No
PUR00010027-0001,CLM00010027,TPIN1000000027,TPIN1000000347,Supplier 0347,No,INV-165764,2024-04-13,18729,2997,15733,Services,Bank Transfer,No
PUR00010027-0002,CLM00010027,TPIN1000000027,TPIN1000000887,Supplier 0887,No,INV-255060,2024-03-17,35191,5630,29560,Raw Materials,Bank Transfer,Yes
PUR00010027-0003,CLM00010027,TPIN1000000027,TPIN1000000483,Supplier 0483,Yes,INV-839199,2024-04-08,10031,1605,8426,Goods for Resale,Cash,No
PUR00010028-0001,CLM00010028,TPIN1000000028,TPIN1000000824,Supplier 0824,No,INV-499847,2023-12-17,53398,8544,44854,Goods for Resale,Cheque,Yes
PUR00010029-0001,CLM00010029,TPIN1000000029,TPIN1000000229,Supplier 0229,Yes,INV-879797,2024-03-14,21297,3407,17889,Raw Materials,Cash,Yes
PUR00010029-0002,CLM00010029,TPIN1000000029,TPIN1000000845,Supplier 0845,Yes,INV-237819,2023-12-29,51295,8207,43088,Services,Cash,Yes
PUR00010029-0003,CLM00010029,TPIN1000000029,TPIN1000000631,Supplier 0631,No,INV-293614,2024-01-13,10858,1737,9120,Services,Cash,Yes
PUR00010030-0001,CLM00010030,TPIN1000000030,TPIN1000000994,Supplier 0994,Yes,INV-344239,2024-05-23,29579,4733,24846,Raw Materials,Bank Transfer,Yes
PUR00010031-0001,CLM00010031,TPIN1000000031,TPIN1000000251,Supplier 0251,Yes,INV-511329,2024-07-04,44815,7170,37645,Raw Materials,Bank Transfer,Yes
PUR00010031-0002,CLM00010031,TPIN1000000031,TPIN1000000407,Supplier 0407,Yes,INV-92363,2024-09-02,29721,4755,24965,Raw Materials,Cash,Yes
PUR00010031-0003,CLM00010031,TPIN1000000031,TPIN1000000372,Supplier 0372,Yes,INV-3406,2024-08-17,32823,5252,27571,Raw Materials,Cheque,Yes
PUR00010032-0001,CLM00010032,TPIN1000000032,TPIN1000000422,Supplier 0422,Yes,INV-333789,2024-05-15,50830,8133,42697,Services,Cheque,No
PUR00010033-0001,CLM00010033,TPIN1000000033,TPIN1000000449,Supplier 0449,No,INV-857435,2024-02-13,47023,7524,39499,Raw Materials,Bank Transfer,No
PUR00010033-0002,CLM00010033,TPIN1000000033,TPIN1000000199,Supplier 0199,No,INV-114843,2024-01-24,24922,3988,20934,Goods for Resale,Cheque,Yes
PUR00010034-0001,CLM00010034,TPIN1000000034,TPIN1000000682,Supplier 0682,Yes,INV-425989,2024-05-04,51191,8191,43000,Equipment,Bank Transfer,No
PUR00010034-0002,CLM00010034,TPIN1000000034,TPIN1000000245,Supplier 0245,Yes,INV-118750,2024-05-11,12873,2060,10813,Raw Materials,Cash,Yes
PUR00010035-0001,CLM00010035,TPIN1000000035,TPIN1000000800,Supplier 0800,Yes,INV-688739,2024-03-01,48949,7832,41117,Goods for Resale,Bank Transfer,Yes
PUR00010036-0001,CLM00010036,TPIN1000000036,TPIN1000000447,Supplier 0447,Yes,INV-447176,2024-09-10,27121,4339,22782,Services,Cash,No
PUR00010036-0002,CLM00010036,TPIN1000000036,TPIN1000000984,Supplier 0984,Yes,INV-991389,2024-09-14,12578,2012,10566,Raw Materials,Cash,Yes
PUR00010036-0003,CLM00010036,TPIN1000000036,TPIN1000000373,Supplier 0373,Yes,INV-996553,2024-10-11,40646,6503,34142,Services,Cash,No
PUR00010037-0001,CLM00010037,TPIN1000000037,TPIN1000000711,Supplier 0711,Yes,INV-178444,2024-07-02,26609,4258,22352,Goods for Resale,Bank Transfer,No
PUR00010038-0001,CLM00010038,TPIN1000000038,TPIN1000000586,Supplier 0586,Yes,INV-800886,2024-06-07,19523,3124,16399,Services,Cash,No
PUR00010038-0002,CLM00010038,TPIN1000000038,TPIN1000000494,Supplier 0494,Yes,INV-57058,2024-04-25,28723,4596,24128,Services,Cheque,Yes
PUR00010039-0001,CLM00010039,TPIN1000000039,TPIN1000000745,Supplier 0745,No,INV-814452,2024-01-31,17359,2777,14582,Services,Cash,Yes
PUR00010039-0002,CLM00010039,TPIN1000000039,TPIN1000000783,Supplier 0783,Yes,INV-267174,2024-01-21,27154,4345,22809,Services,Cheque,No
PUR00010040-0001,CLM00010040,TPIN1000000040,TPIN1000000833,Supplier 0833,Yes,INV-538584,2024-01-15,41493,6639,34854,Raw Materials,Cash,Yes
PUR00010040-0002,CLM00010040,TPIN1000000040,TPIN1000000499,Supplier 0499,No,INV-212708,2023-12-15,36001,5760,30241,Raw Materials,Cash,No
PUR00010041-0001,CLM00010041,TPIN1000000041,TPIN1000000553,Supplier 0553,Yes,INV-962433,2024-08-11,10619,1699,8920,Goods for Resale,Cash,Yes
PUR00010042-0001,CLM00010042,TPIN1000000042,TPIN1000000247,Supplier 0247,Yes,INV-415122,2024-09-24,22962,3674,19288,Services,Cash,Yes
PUR00010042-0002,CLM00010042,TPIN1000000042,TPIN1000000147,Supplier 0147,Yes,INV-792232,2024-11-13,37252,5960,31291,Raw Materials,Bank Transfer,Yes
PUR00010042-0003,CLM00010042,TPIN1000000042,TPIN1000000755,Supplier 0755,Yes,INV-698151,2024-09-01,11718,1875,9843,Services,Bank Transfer,Yes
PUR00010043-0001,CLM00010043,TPIN1000000043,TPIN1000000725,Supplier 0725,Yes,INV-379753,2024-08-15,34403,5504,28898,Goods for Resale,Bank Transfer,Yes
PUR00010043-0002,CLM00010043,TPIN1000000043,TPIN1000000662,Supplier 0662,Yes,INV-355325,2024-09-29,34652,5544,29108,Equipment,Bank Transfer,No
PUR00010043-0003,CLM00010043,TPIN1000000043,TPIN1000000976,Supplier 0976,Yes,INV-203126,2024-08-15,15498,2480,13018,Services,Bank Transfer,Yes
PUR00010044-0001,CLM00010044,TPIN1000000044,TPIN1000000274,Supplier 0274,No,INV-959752,2023-12-18,30363,4858,25505,Raw Materials,Cheque,No
PUR00010045-0001,CLM00010045,TPIN1000000045,TPIN1000000808,Supplier 0808,No,INV-237522,2024-04-08,33085,5294,27792,Equipment,Bank Transfer,Yes
PUR00010046-0001,CLM00010046,TPIN1000000046,TPIN1000000711,Supplier 0711,Yes,INV-128011,2023-12-29,52976,8476,44500,Services,Cash,No
PUR00010047-0001,CLM00010047,TPIN1000000047,TPIN1000000210,Supplier 0210,Yes,INV-213758,2024-05-22,48582,7773,40809,Services,Cheque,Yes
PUR00010047-0002,CLM00010047,TPIN1000000047,TPIN1000000114,Supplier 0114,No,INV-327559,2024-04-27,22815,3650,19165,Equipment,Cash,No
PUR00010047-0003,CLM00010047,TPIN1000000047,TPIN1000000754,Supplier 0754,Yes,INV-943115,2024-06-30,12103,1936,10166,Goods for Resale,Cheque,Yes
PUR00010048-0001,CLM00010048,TPIN1000000048,TPIN1000000218,Supplier 0218,No,INV-415313,2024-04-27,24888,3982,20906,Goods for Resale,Cheque,No
PUR00010048-0002,CLM00010048,TPIN1000000048,TPIN1000000443,Supplier 0443,Yes,INV-98683,2024-04-10,39592,6335,33257,Equipment,Cheque,Yes
PUR00010048-0003,CLM00010048,TPIN1000000048,TPIN1000000623,Supplier 0623,Yes,INV-540991,2024-04-04,27554,4409,23145,Goods for Resale,Cheque,Yes
PUR00010049-0001,CLM00010049,TPIN1000000049,TPIN1000000241,Supplier 0241,Yes,INV-315719,2024-07-31,47083,7533,39550,Raw Materials,Bank Transfer,Yes
PUR00010049-0002,CLM00010049,TPIN1000000049,TPIN1000000166,Supplier 0166,Yes,INV-748668,2024-06-21,54146,8663,45483,Raw Materials,Cheque,No
PUR00010050-0001,CLM00010050,TPIN1000000050,TPIN1000000992,Supplier 0992,No,INV-964000,2024-06-04,43966,7034,36931,Goods for Resale,Cheque,No
PUR00010051-0001,CLM00010051,TPIN1000000051,TPIN1000000713,Supplier 0713,Yes,INV-36243,2024-01-07,26259,4201,22057,Goods for Resale,Cheque,Yes
PUR00010051-0002,CLM00010051,TPIN1000000051,TPIN1000000493,Supplier 0493,No,INV-21639,2023-12-19,49988,7998,41990,Services,Cash,Yes
PUR00010052-0001,CLM00010052,TPIN1000000052,TPIN1000000848,Supplier 0848,No,INV-999022,2024-03-10,14576,2332,12244,Goods for Resale,Cash,Yes
PUR00010052-0002,CLM00010052,TPIN1000000052,TPIN1000000682,Supplier 0682,Yes,INV-741741,2024-03-24,17900,2864,15036,Services,Cash,No
PUR00010053-0001,CLM00010053,TPIN1000000053,TPIN1000000371,Supplier 0371,Yes,INV-270187,2023-11-23,47303,7569,39735,Equipment,Cheque,No
PUR00010054-0001,CLM00010054,TPIN1000000054,TPIN1000000058,Supplier 0058,Yes,INV-776342,2024-09-06,10358,1657,8701,Goods for Resale,Bank Transfer,Yes
PUR00010055-0001,CLM00010055,TPIN1000000055,TPIN1000000532,Supplier 0532,Yes,INV-543895,2024-08-26,37806,6049,31757,Raw Materials,Cheque,No
PUR00010055-0002,CLM00010055,TPIN1000000055,TPIN1000000138,Supplier 0138,Yes,INV-141073,2024-09-14,45235,7238,37997,Goods for Resale,Cheque,Yes
PUR00010055-0003,CLM00010055,TPIN1000000055,TPIN1000000870,Supplier 0870,Yes,INV-771437,2024-08-26,31774,5084,26690,Raw Materials,Cash,Yes
PUR00010056-0001,CLM00010056,TPIN1000000056,TPIN1000000444,Supplier 0444,No,INV-688914,2024-05-05,15692,2511,13181,Goods for Resale,Bank Transfer,No
PUR00010056-0002,CLM00010056,TPIN1000000056,TPIN1000000607,Supplier 0607,Yes,INV-912980,2024-04-29,43679,6989,36690,Equipment,Cash,No
PUR00010056-0003,CLM00010056,TPIN1000000056,TPIN1000000616,Supplier 0616,No,INV-628880,2024-06-16,26568,4251,22317,Goods for Resale,Cheque,Yes
PUR00010057-0001,CLM00010057,TPIN1000000057,TPIN1000000806,Supplier 0806,Yes,INV-36587,2023-11-11,44760,7162,37598,Equipment,Cheque,No
PUR00010057-0002,CLM00010057,TPIN1000000057,TPIN1000000926,Supplier 0926,No,INV-248755,2023-10-28,13266,2123,11144,Services,Bank Transfer,Yes
PUR00010058-0001,CLM00010058,TPIN1000000058,TPIN1000000855,Supplier 0855,Yes,INV-160000,2024-09-30,33075,5292,27783,Raw Materials,Bank Transfer,Yes
PUR00010059-0001,CLM00010059,TPIN1000000059,TPIN1000000059,Supplier 0059,No,INV-436798,2024-08-25,20755,3321,17434,Raw Materials,Bank Transfer,No
PUR00010059-0002,CLM00010059,TPIN1000000059,TPIN1000000085,Supplier 0085,Yes,INV-361979,2024-07-16,17434,2789,14645,Goods for Resale,Bank Transfer,Yes
PUR00010060-0001,CLM00010060,TPIN1000000060,TPIN1000000833,Supplier 0833,Yes,INV-521968,2024-06-25,55313,8850,46463,Services,Cheque,Yes
PUR00010060-0002,CLM00010060,TPIN1000000060,TPIN1000000471,Supplier 0471,No,INV-488103,2024-08-02,55641,8903,46739,Equipment,Cash,No
PUR00010061-0001,CLM00010061,TPIN1000000061,TPIN1000000329,Supplier 0329,Yes,INV-56139,2024-01-09,36243,5799,30444,Goods for Resale,Bank Transfer,Yes
PUR00010061-0002,CLM00010061,TPIN1000000061,TPIN1000000792,Supplier 0792,No,INV-123070,2023-12-05,47291,7567,39725,Goods for Resale,Bank Transfer,Yes
PUR00010062-0001,CLM00010062,TPIN1000000062,TPIN1000000187,Supplier 0187,Yes,INV-917101,2024-09-27,31276,5004,26272,Goods for Resale,Cheque,Yes
PUR00010062-0002,CLM00010062,TPIN1000000062,TPIN1000000284,Supplier 0284,Yes,INV-213154,2024-09-23,53410,8546,44865,Equipment,Bank Transfer,No
PUR00010062-0003,CLM00010062,TPIN1000000062,TPIN1000000708,Supplier 0708,No,INV-61171,2024-09-11,27491,4399,23092,Raw Materials,Cash,No
PUR00010063-0001,CLM00010063,TPIN1000000063,TPIN1000000263,Supplier 0263,No,INV-85537,2024-08-02,14553,2328,12225,Services,Bank Transfer,No
PUR00010063-0002,CLM00010063,TPIN1000000063,TPIN1000000244,Supplier 0244,Yes,INV-332748,2024-06-02,38801,6208,32593,Raw Materials,Cheque,Yes
PUR00010063-0003,CLM00010063,TPIN1000000063,TPIN1000000932,Supplier 0932,Yes,INV-59751,2024-06-02,33611,5378,28233,Equipment,Cash,Yes
PUR00010064-0001,CLM00010064,TPIN1000000064,TPIN1000000974,Supplier 0974,Yes,INV-672953,2024-03-19,59997,9599,50397,Raw Materials,Cash,Yes
PUR00010064-0002,CLM00010064,TPIN1000000064,TPIN1000000217,Supplier 0217,Yes,INV-799913,2024-02-02,19363,3098,16265,Equipment,Bank Transfer,No
PUR00010065-0001,CLM00010065,TPIN1000000065,TPIN1000000285,Supplier 0285,Yes,INV-612287,2024-10-09,49278,7885,41394,Services,Cheque,No
PUR00010065-0002,CLM00010065,TPIN1000000065,TPIN1000000630,Supplier 0630,Yes,INV-383618,2024-10-19,47514,7602,39912,Raw Materials,Cash,No
PUR00010066-0001,CLM00010066,TPIN1000000066,TPIN1000000208,Supplier 0208,No,INV-708465,2024-12-05,24535,3926,20610,Goods for Resale,Cheque,Yes
PUR00010066-0002,CLM00010066,TPIN1000000066,TPIN1000000212,Supplier 0212,Yes,INV-24540,2024-11-23,16578,2652,13925,Equipment,Bank Transfer,Yes
PUR00010067-0001,CLM00010067,TPIN1000000067,TPIN1000000143,Supplier 0143,Yes,INV-36545,2024-10-13,16855,2697,14158,Services,Cash,No
PUR00010067-0002,CLM00010067,TPIN1000000067,TPIN1000000163,Supplier 0163,Yes,INV-981795,2024-10-04,45048,7208,37840,Services,Cheque,Yes
PUR00010067-0003,CLM00010067,TPIN1000000067,TPIN1000000132,Supplier 0132,Yes,INV-619015,2024-11-13,43730,6997,36733,Equipment,Cash,Yes
PUR00010068-0001,CLM00010068,TPIN1000000068,TPIN1000000146,Supplier 0146,Yes,INV-39326,2024-02-03,51739,8278,43461,Services,Bank Transfer,No
PUR00010069-0001,CLM00010069,TPIN1000000069,TPIN1000000528,Supplier 0528,Yes,INV-161442,2024-04-19,47411,7586,39825,Raw Materials,Cheque,Yes
PUR00010069-0002,CLM00010069,TPIN1000000069,TPIN1000000806,Supplier 0806,Yes,INV-906522,2024-03-02,25669,4107,21562,Services,Cash,No
PUR00010070-0001,CLM00010070,TPIN1000000070,TPIN1000000485,Supplier 0485,Yes,INV-617091,2024-05-11,51149,8184,42965,Equipment,Bank Transfer,No
PUR00010071-0001,CLM00010071,TPIN1000000071,TPIN1000000051,Supplier 0051,Yes,INV-115769,2024-04-27,49166,7867,41300,Goods for Resale,Cheque,No
PUR00010071-0002,CLM00010071,TPIN1000000071,TPIN1000000752,Supplier 0752,Yes,INV-3743,2024-04-26,37320,5971,31349,Services,Cash,No
PUR00010072-0001,CLM00010072,TPIN1000000072,TPIN1000000098,Supplier 0098,Yes,INV-585,2024-08-03,56592,9055,47538,Equipment,Cash,Yes
PUR00010073-0001,CLM00010073,TPIN1000000073,TPIN1000000654,Supplier 0654,Yes,INV-624507,2024-04-12,30954,4953,26001,Raw Materials,Cash,Yes
PUR00010074-0001,CLM00010074,TPIN1000000074,TPIN1000000334,Supplier 0334,Yes,INV-261155,2024-05-03,18350,2936,15414,Raw Materials,Cheque,Yes
PUR00010074-0002,CLM00010074,TPIN1000000074,TPIN1000000967,Supplier 0967,No,INV-688526,2024-05-11,25344,4055,21289,Raw Materials,Cheque,Yes
PUR00010074-0003,CLM00010074,TPIN1000000074,TPIN1000000913,Supplier 0913,Yes,INV-81861,2024-05-07,53562,8570,44992,Services,Cheque,Yes
PUR00010075-0001,CLM00010075,TPIN1000000075,TPIN1000000528,Supplier 0528,Yes,INV-140229,2024-07-10,34007,5441,28566,Services,Bank Transfer,Yes
PUR00010075-0002,CLM00010075,TPIN1000000075,TPIN1000000068,Supplier 0068,Yes,INV-290701,2024-08-23,53567,8571,44996,Services,Bank Transfer,Yes
PUR00010076-0001,CLM00010076,TPIN1000000076,TPIN1000000722,Supplier 0722,Yes,INV-623067,2024-02-27,11738,1878,9860,Goods for Resale,Cash,Yes
PUR00010077-0001,CLM00010077,TPIN1000000077,TPIN1000000712,Supplier 0712,Yes,INV-109107,2024-06-22,40353,6457,33897,Equipment,Bank Transfer,Yes
PUR00010078-0001,CLM00010078,TPIN1000000078,TPIN1000000549,Supplier 0549,No,INV-632588,2024-01-03,18815,3010,15804,Goods for Resale,Bank Transfer,Yes
PUR00010078-0002,CLM00010078,TPIN1000000078,TPIN1000000807,Supplier 0807,Yes,INV-924108,2023-11-24,39278,6285,32994,Services,Cheque,No
PUR00010079-0001,CLM00010079,TPIN1000000079,TPIN1000000441,Supplier 0441,No,INV-839918,2024-09-23,46958,7513,39445,Services,Bank Transfer,No
PUR00010080-0001,CLM00010080,TPIN1000000080,TPIN1000000055,Supplier 0055,No,INV-741673,2024-07-24,27985,4478,23508,Goods for Resale,Cheque,Yes
PUR00010080-0002,CLM00010080,TPIN1000000080,TPIN1000000911,Supplier 0911,Yes,INV-81951,2024-08-02,29623,4740,24884,Raw Materials,Bank Transfer,Yes
PUR00010080-0003,CLM00010080,TPIN1000000080,TPIN1000000536,Supplier 0536,Yes,INV-70776,2024-09-14,20512,3282,17230,Goods for Resale,Cheque,Yes
PUR00010081-0001,CLM00010081,TPIN1000000081,TPIN1000000418,Supplier 0418,Yes,INV-589821,2024-09-19,50774,8124,42650,Raw Materials,Cheque,Yes
PUR00010081-0002,CLM00010081,TPIN1000000081,TPIN1000000401,Supplier 0401,No,INV-506169,2024-08-30,32010,5122,26889,Services,Cash,Yes
PUR00010082-0001,CLM00010082,TPIN1000000082,TPIN1000000996,Supplier 0996,No,INV-162448,2024-02-01,16885,2702,14184,Raw Materials,Cash,No
PUR00010083-0001,CLM00010083,TPIN1000000083,TPIN1000000345,Supplier 0345,No,INV-120090,2024-09-28,56077,8972,47105,Equipment,Bank Transfer,Yes
PUR00010084-0001,CLM00010084,TPIN1000000084,TPIN1000000654,Supplier 0654,Yes,INV-888943,2024-05-30,16871,2699,14172,Raw Materials,Bank Transfer,No
PUR00010084-0002,CLM00010084,TPIN1000000084,TPIN1000000005,Supplier 0005,Yes,INV-732793,2024-03-24,28628,4581,24048,Goods for Resale,Cheque,Yes
PUR00010085-0001,CLM00010085,TPIN1000000085,TPIN1000000877,Supplier 0877,No,INV-527335,2024-07-04,21098,3376,17722,Goods for Resale,Cheque,No
PUR00010085-0002,CLM00010085,TPIN1000000085,TPIN1000000349,Supplier 0349,Yes,INV-137965,2024-09-07,53585,8574,45011,Goods for Resale,Cheque,Yes
PUR00010085-0003,CLM00010085,TPIN1000000085,TPIN1000000915,Supplier 0915,Yes,INV-10613,2024-07-26,55925,8948,46977,Equipment,Cash,No
PUR00010086-0001,CLM00010086,TPIN1000000086,TPIN1000000298,Supplier 0298,No,INV-729508,2023-12-17,47834,7653,40181,Raw Materials,Cash,Yes
PUR00010086-0002,CLM00010086,TPIN1000000086,TPIN1000000033,Supplier 0033,Yes,INV-430126,2024-03-03,16624,2660,13964,Goods for Resale,Bank Transfer,No
PUR00010086-0003,CLM00010086,TPIN1000000086,TPIN1000000209,Supplier 0209,Yes,INV-821400,2024-02-02,43257,6921,36336,Goods for Resale,Cheque,Yes
