transaction_id,claim_id,taxpayer_id,customer_name,customer_country,invoice_number,invoice_date,is_export,gross_amount,vat_amount,net_amount,export_doc_reference,payment_received
SAL00010019-0003,CLM00010019,TPIN1000000019,Local Customer 2,Zambia,SINV-518060,2024-05-27,No,254155,40665,213490,N/A,Yes
SAL00010020-0001,CLM00010020,TPIN1000000020,Local Customer 0,Zambia,SINV-256864,2023-10-29,No,107230,17157,90073,N/A,Yes
SAL00010021-0001,CLM00010021,TPIN1000000021,Local Customer 0,Zambia,SINV-835705,2024-10-26,No,161921,25907,136014,N/A,Yes
SAL00010021-0002,CLM00010021,TPIN1000000021,Tanzania Buyer 1,Zimbabwe,SINV-929074,2024-10-04,Yes,222424,0,222424,EXP-120918,Yes
SAL00010021-0003,CLM00010021,TPIN1000000021,Local Customer 2,Zambia,SINV-83506,2024-10-26,No,40199,6432,33767,N/A,Yes
SAL00010022-0001,CLM00010022,TPIN1000000022,Local Customer 0,Zambia,SINV-155421,2024-07-05,No,52291,8367,43925,N/A,Yes
SAL00010022-0002,CLM00010022,TPIN1000000022,Local Customer 1,Zambia,SINV-980826,2024-06-17,No,43870,7019,36851,N/A,Yes
SAL00010023-0001,CLM00010023,TPIN1000000023,Local Customer 0,Zambia,SINV-827934,2024-06-01,No,132342,21175,111167,N/A,Yes
SAL00010023-0002,CLM00010023,TPIN1000000023,Local Customer 1,Zambia,SINV-27723,2024-06-27,No,245554,39289,206265,N/A,Yes
SAL00010024-0001,CLM00010024,TPIN1000000024,Malawi Buyer 0,UK,SINV-620320,2024-06-01,Yes,189460,0,189460,EXP-970414,No
SAL00010024-0002,CLM00010024,TPIN1000000024,Local Customer 1,Zambia,SINV-640261,2024-04-29,No,202618,32419,170199,N/A,Yes
SAL00010024-0003,CLM00010024,TPIN1000000024,Local Customer 2,Zambia,SINV-854918,2024-06-13,No,51689,8270,43418,N/A,Yes
SAL00010025-0001,CLM00010025,TPIN1000000025,Local Customer 0,Zambia,SINV-743702,2023-11-13,No,123646,19783,103863,N/A,Yes
SAL00010025-0002,CLM00010025,TPIN1000000025,Local Customer 1,Zambia,SINV-745591,2023-10-20,No,108919,17427,91492,N/A,Yes
SAL00010025-0003,CLM00010025,TPIN1000000025,South Africa Buyer 2,UAE,SINV-990605,2023-11-16,Yes,240315,0,240315,EXP-584050,Yes
SAL00010026-0001,CLM00010026,TPIN1000000026,UK Buyer 0,DRC,SINV-875168,2023-12-12,Yes,145522,0,145522,EXP-556059,Yes
SAL00010026-0002,CLM00010026,TPIN1000000026,DRC Buyer 1,Botswana,SINV-665616,2024-02-21,Yes,212490,0,212490,EXP-778536,No
SAL00010027-0001,CLM00010027,TPIN1000000027,Local Customer 0,Zambia,SINV-157650,2024-04-02,No,97459,15593,81865,N/A,Yes
SAL00010028-0001,CLM00010028,TPIN1000000028,Local Customer 0,Zambia,SINV-787070,2023-12-17,No,61671,9867,51804,N/A,Yes
SAL00010028-0002,CLM00010028,TPIN1000000028,Local Customer 1,Zambia,SINV-90951,2024-01-08,No,134369,21499,112870,N/A,Yes
SAL00010028-0003,CLM00010028,TPIN1000000028,Local Customer 2,Zambia,SINV-726063,2024-01-13,No,64808,10369,54439,N/A,Yes
SAL00010029-0001,CLM00010029,TPIN1000000029,Local Customer 0,Zambia,SINV-539922,2024-03-11,No,94965,15194,79770,N/A,Yes
SAL00010029-0002,CLM00010029,TPIN1000000029,Local Customer 1,Zambia,SINV-217807,2024-01-24,No,267659,42826,224834,N/A,Yes
SAL00010030-0001,CLM00010030,TPIN1000000030,Local Customer 0,Zambia,SINV-34013,2024-07-15,No,79860,12778,67082,N/A,Yes
SAL00010031-0001,CLM00010031,TPIN1000000031,Botswana Buyer 0,Zimbabwe,SINV-467489,2024-08-24,Yes,157162,0,157162,EXP-861886,No
SAL00010032-0001,CLM00010032,TPIN1000000032,China Buyer 0,South Africa,SINV-269534,2024-04-29,Yes,78225,0,78225,EXP-115384,No
SAL00010032-0002,CLM00010032,TPIN1000000032,DRC Buyer 1,China,SINV-139811,2024-04-09,Yes,46294,0,46294,EXP-888155,Yes
SAL00010033-0001,CLM00010033,TPIN1000000033,Local Customer 0,Zambia,SINV-402215,2024-02-07,No,191238,30598,160640,N/A,Yes
SAL00010033-0002,CLM00010033,TPIN1000000033,UAE Buyer 1,Malawi,SINV-397200,2024-01-27,Yes,13311,0,13311,EXP-294248,Yes
SAL00010033-0003,CLM00010033,TPIN1000000033,Botswana Buyer 2,Zimbabwe,SINV-495131,2024-02-19,Yes,223766,0,223766,EXP-912764,No
SAL00010034-0001,CLM00010034,TPIN1000000034,Local Customer 0,Zambia,SINV-821493,2024-06-11,No,39290,6286,33004,N/A,Yes
SAL00010035-0001,CLM00010035,TPIN1000000035,Local Customer 0,Zambia,SINV-241389,2024-04-11,No,237253,37961,199293,N/A,Yes
SAL00010035-0002,CLM00010035,TPIN1000000035,Local Customer 1,Zambia,SINV-940647,2024-04-12,No,70810,11330,59481,N/A,Yes
SAL00010035-0003,CLM00010035,TPIN1000000035,South Africa Buyer 2,Zimbabwe,SINV-903083,2024-05-01,Yes,76223,0,76223,EXP-745479,Yes
SAL00010036-0001,CLM00010036,TPIN1000000036,Botswana Buyer 0,China,SINV-949484,2024-11-01,Yes,194230,0,194230,EXP-52017,No
SAL00010036-0002,CLM00010036,TPIN1000000036,Local Customer 1,Zambia,SINV-718411,2024-10-06,No,290890,46542,244348,N/A,Yes
SAL00010036-0003,CLM00010036,TPIN1000000036,Tanzania Buyer 2,Zimbabwe,SINV-407198,2024-09-22,Yes,194560,0,194560,EXP-160140,No
SAL00010037-0001,CLM00010037,TPIN1000000037,DRC Buyer 0,Tanzania,SINV-563314,2024-06-29,Yes,62923,0,62923,EXP-510715,No
SAL00010037-0002,CLM00010037,TPIN1000000037,Local Customer 1,Zambia,SINV-453676,2024-05-20,No,166606,26657,139949,N/A,Yes
SAL00010038-0001,CLM00010038,TPIN1000000038,Zimbabwe Buyer 0,UAE,SINV-643096,2024-06-21,Yes,291055,0,291055,EXP-709537,Yes
SAL00010038-0002,CLM00010038,TPIN1000000038,DRC Buyer 1,Zimbabwe,SINV-293545,2024-04-25,Yes,260863,0,260863,EXP-656937,Yes
SAL00010038-0003,CLM00010038,TPIN1000000038,UAE Buyer 2,UK,SINV-999105,2024-05-30,Yes,181926,0,181926,EXP-572430,No
SAL00010039-0001,CLM00010039,TPIN1000000039,Tanzania Buyer 0,Malawi,SINV-367578,2024-01-11,Yes,124491,0,124491,EXP-853890,Yes
SAL00010039-0002,CLM00010039,TPIN1000000039,Tanzania Buyer 1,UAE,SINV-239509,2024-01-25,Yes,58440,0,58440,EXP-379245,Yes
SAL00010039-0003,CLM00010039,TPIN1000000039,DRC Buyer 2,China,SINV-334753,2023-12-30,Yes,194704,0,194704,EXP-349659,No
SAL00010040-0001,CLM00010040,TPIN1000000040,Local Customer 0,Zambia,SINV-196853,2024-01-09,No,11681,1869,9812,N/A,Yes
SAL00010040-0002,CLM00010040,TPIN1000000040,Local Customer 1,Zambia,SINV-728113,2023-12-13,No,44813,7170,37643,N/A,Yes
SAL00010040-0003,CLM00010040,TPIN1000000040,DRC Buyer 2,DRC,SINV-358405,2023-12-12,Yes,293157,0,293157,EXP-894095,No
SAL00010041-0001,CLM00010041,TPIN1000000041,Local Customer 0,Zambia,SINV-601318,2024-07-27,No,152546,24407,128139,N/A,Yes
SAL00010041-0002,CLM00010041,TPIN1000000041,Local Customer 1,Zambia,SINV-321453,2024-08-22,No,150161,24026,126136,N/A,Yes
SAL00010041-0003,CLM00010041,TPIN1000000041,Local Customer 2,Zambia,SINV-733603,2024-07-11,No,126737,20278,106459,N/A,Yes
SAL00010042-0001,CLM00010042,TPIN1000000042,China Buyer 0,Malawi,SINV-688235,2024-08-28,Yes,86406,0,86406,EXP-288572,No
SAL00010042-0002,CLM00010042,TPIN1000000042,Local Customer 1,Zambia,SINV-16212,2024-08-28,No,113082,18093,94989,N/A,Yes
SAL00010043-0001,CLM00010043,TPIN1000000043,UAE Buyer 0,Botswana,SINV-142080,2024-08-07,Yes,129646,0,129646,EXP-65665,Yes
SAL00010043-0002,CLM00010043,TPIN1000000043,Local Customer 1,Zambia,SINV-275120,2024-10-01,No,95289,15246,80043,N/A,Yes
SAL00010044-0001,CLM00010044,TPIN1000000044,Local Customer 0,Zambia,SINV-385622,2024-01-02,No,82194,13151,69043,N/A,Yes
SAL00010045-0001,CLM00010045,TPIN1000000045,Local Customer 0,Zambia,SINV-693068,2024-03-25,No,309082,49453,259629,N/A,Yes
SAL00010046-0001,CLM00010046,TPIN1000000046,Local Customer 0,Zambia,SINV-953584,2023-11-10,No,114715,18354,96360,N/A,Yes
SAL00010047-0001,CLM00010047,TPIN1000000047,Local Customer 0,Zambia,SINV-249430,2024-04-26,No,144405,23105,121300,N/A,Yes
SAL00010047-0002,CLM00010047,TPIN1000000047,Malawi Buyer 1,China,SINV-979978,2024-05-25,Yes,77038,0,77038,EXP-829104,No
SAL00010047-0003,CLM00010047,TPIN1000000047,Local Customer 2,Zambia,SINV-757368,2024-05-03,No,113886,18222,95664,N/A,Yes
SAL00010048-0001,CLM00010048,TPIN1000000048,Local Customer 0,Zambia,SINV-136744,2024-03-03,No,141607,22657,118950,N/A,Yes
SAL00010048-0002,CLM00010048,TPIN1000000048,Tanzania Buyer 1,DRC,SINV-17626,2024-03-01,Yes,221673,0,221673,EXP-288355,No
SAL00010048-0003,CLM00010048,TPIN1000000048,Local Customer 2,Zambia,SINV-605915,2024-03-09,No,164897,26383,138513,N/A,Yes
SAL00010049-0001,CLM00010049,TPIN1000000049,Local Customer 0,Zambia,SINV-330234,2024-08-27,No,280277,44844,235433,N/A,Yes
SAL00010050-0001,CLM00010050,TPIN1000000050,China Buyer 0,Tanzania,SINV-782382,2024-05-02,Yes,183230,0,183230,EXP-286708,No
SAL00010050-0002,CLM00010050,TPIN1000000050,Local Customer 1,Zambia,SINV-906373,2024-06-06,No,221202,35392,185810,N/A,Yes
SAL00010051-0001,CLM00010051,TPIN1000000051,Tanzania Buyer 0,South Africa,SINV-436675,2023-11-15,Yes,234397,0,234397,EXP-308467,No
SAL00010052-0001,CLM00010052,TPIN1000000052,China Buyer 0,UK,SINV-490477,2024-05-07,Yes,188445,0,188445,EXP-408088,No
SAL00010053-0001,CLM00010053,TPIN1000000053,Local Customer 0,Zambia,SINV-668070,2023-10-22,No,171278,27404,143873,N/A,Yes
SAL00010053-0002,CLM00010053,TPIN1000000053,Local Customer 1,Zambia,SINV-25303,2023-11-21,No,289763,46362,243401,N/A,Yes
SAL00010053-0003,CLM00010053,TPIN1000000053,Local Customer 2,Zambia,SINV-471061,2024-01-03,No,17322,2772,14551,N/A,Yes
SAL00010054-0001,CLM00010054,TPIN1000000054,Local Customer 0,Zambia,SINV-567067,2024-06-16,No,166253,26600,139652,N/A,Yes
SAL00010055-0001,CLM00010055,TPIN1000000055,Local Customer 0,Zambia,SINV-561602,2024-08-03,No,184431,29509,154922,N/A,Yes
SAL00010055-0002,CLM00010055,TPIN1000000055,Local Customer 1,Zambia,SINV-77415,2024-08-27,No,26556,4249,22307,N/A,Yes
SAL00010055-0003,CLM00010055,TPIN1000000055,Local Customer 2,Zambia,SINV-973811,2024-08-23,No,282857,45257,237600,N/A,Yes
SAL00010056-0001,CLM00010056,TPIN1000000056,Local Customer 0,Zambia,SINV-620993,2024-04-02,No,238907,38225,200682,N/A,Yes
SAL00010057-0001,CLM00010057,TPIN1000000057,Local Customer 0,Zambia,SINV-21863,2023-12-19,No,186944,29911,157033,N/A,Yes
SAL00010057-0002,CLM00010057,TPIN1000000057,Botswana Buyer 1,UAE,SINV-504407,2023-11-27,Yes,289829,0,289829,EXP-521445,No
SAL00010057-0003,CLM00010057,TPIN1000000057,Local Customer 2,Zambia,SINV-903697,2023-12-16,No,85936,13750,72186,N/A,Yes
SAL00010058-0001,CLM00010058,TPIN1000000058,Local Customer 0,Zambia,SINV-267922,2024-08-28,No,288438,46150,242288,N/A,Yes
SAL00010058-0002,CLM00010058,TPIN1000000058,Malawi Buyer 1,China,SINV-848829,2024-08-14,Yes,106780,0,106780,EXP-14635,Yes
SAL00010059-0001,CLM00010059,TPIN1000000059,Local Customer 0,Zambia,SINV-914938,2024-07-24,No,279788,44766,235022,N/A,Yes
SAL00010060-0001,CLM00010060,TPIN1000000060,UK Buyer 0,Malawi,SINV-961494,2024-09-01,Yes,164458,0,164458,EXP-904792,Yes
SAL00010061-0001,CLM00010061,TPIN1000000061,Local Customer 0,Zambia,SINV-40573,2024-01-15,No,82668,13227,69441,N/A,Yes
SAL00010061-0002,CLM00010061,TPIN1000000061,Local Customer 1,Zambia,SINV-849807,2023-12-11,No,147756,23641,124115,N/A,Yes
SAL00010061-0003,CLM00010061,TPIN1000000061,Local Customer 2,Zambia,SINV-991457,2024-01-12,No,300504,48081,252424,N/A,Yes
SAL00010062-0001,CLM00010062,TPIN1000000062,Local Customer 0,Zambia,SINV-196841,2024-09-18,No,187826,30052,157774,N/A,Yes
SAL00010063-0001,CLM00010063,TPIN1000000063,Local Customer 0,Zambia,SINV-366375,2024-07-13,No,293759,47001,246757,N/A,Yes
SAL00010063-0002,CLM00010063,TPIN1000000063,Local Customer 1,Zambia,SINV-450843,2024-08-07,No,199414,31906,167508,N/A,Yes
SAL00010064-0001,CLM00010064,TPIN1000000064,Local Customer 0,Zambia,SINV-501202,2024-03-10,No,33166,5307,27860,N/A,Yes
SAL00010065-0001,CLM00010065,TPIN1000000065,Local Customer 0,Zambia,SINV-125868,2024-08-01,No,301665,48266,253399,N/A,Yes
SAL00010066-0001,CLM00010066,TPIN1000000066,Local Customer 0,Zambia,SINV-550698,2024-12-09,No,12113,1938,10175,N/A,Yes
SAL00010066-0002,CLM00010066,TPIN1000000066,Local Customer 1,Zambia,SINV-196112,2024-11-29,No,221287,35406,185881,N/A,Yes
SAL00010067-0001,CLM00010067,TPIN1000000067,Local Customer 0,Zambia,SINV-590391,2024-10-31,No,77815,12450,65365,N/A,Yes
SAL00010067-0002,CLM00010067,TPIN1000000067,Local Customer 1,Zambia,SINV-768966,2024-11-23,No,30222,4836,25387,N/A,Yes
SAL00010067-0003,CLM00010067,TPIN1000000067,UK Buyer 2,Botswana,SINV-171762,2024-10-20,Yes,209579,0,209579,EXP-864145,No
SAL00010068-0001,CLM00010068,TPIN1000000068,Local Customer 0,Zambia,SINV-447841,2024-01-12,No,246741,39479,207262,N/A,Yes
SAL00010068-0002,CLM00010068,TPIN1000000068,DRC Buyer 1,DRC,SINV-579444,2024-01-19,Yes,294606,0,294606,EXP-222859,Yes
SAL00010069-0001,CLM00010069,TPIN1000000069,Local Customer 0,Zambia,SINV-263493,2024-02-14,No,238258,38121,200137,N/A,Yes
SAL00010069-0002,CLM00010069,TPIN1000000069,Local Customer 1,Zambia,SINV-613261,2024-04-08,No,15960,2554,13406,N/A,Yes
SAL00010070-0001,CLM00010070,TPIN1000000070,Local Customer 0,Zambia,SINV-356596,2024-04-11,No,116010,18562,97448,N/A,Yes
SAL00010070-0002,CLM00010070,TPIN1000000070,Local Customer 1,Zambia,SINV-482810,2024-03-25,No,170590,27294,143296,N/A,Yes
SAL00010070-0003,CLM00010070,TPIN1000000070,DRC Buyer 2,Botswana,SINV-106843,2024-05-09,Yes,13242,0,13242,EXP-277266,No
SAL00010071-0001,CLM00010071,TPIN1000000071,Local Customer 0,Zambia,SINV-37796,2024-06-27,No,160498,25680,134818,N/A,Yes
SAL00010072-0001,CLM00010072,TPIN1000000072,DRC Buyer 0,UAE,SINV-774535,2024-09-04,Yes,202320,0,202320,EXP-654546,No
SAL00010072-0002,CLM00010072,TPIN1000000072,Local Customer 1,Zambia,SINV-950989,2024-07-09,No,106470,17035,89435,N/A,Yes
SAL00010072-0003,CLM00010072,TPIN1000000072,Local Customer 2,Zambia,SINV-570718,2024-08-28,No,129672,20748,108925,N/A,Yes
SAL00010073-0001,CLM00010073,TPIN1000000073,South Africa Buyer 0,South Africa,SINV-787143,2024-04-20,Yes,250723,0,250723,EXP-911671,No
SAL00010074-0001,CLM00010074,TPIN1000000074,Tanzania Buyer 0,Malawi,SINV-498899,2024-05-09,Yes,105691,0,105691,EXP-154128,Yes
SAL00010074-0002,CLM00010074,TPIN1000000074,Local Customer 1,Zambia,SINV-123207,2024-06-25,No,309343,49495,259848,N/A,Yes
SAL00010074-0003,CLM00010074,TPIN1000000074,South Africa Buyer 2,China,SINV-222959,2024-05-06,Yes,64056,0,64056,EXP-663617,Yes
SAL00010075-0001,CLM00010075,TPIN1000000075,Local Customer 0,Zambia,SINV-245401,2024-09-06,No,270436,43270,227166,N/A,Yes
SAL00010075-0002,CLM00010075,TPIN1000000075,Local Customer 1,Zambia,SINV-340165,2024-07-15,No,243035,38886,204149,N/A,Yes
SAL00010076-0001,CLM00010076,TPIN1000000076,Tanzania Buyer 0,Botswana,SINV-219863,2024-01-08,Yes,265969,0,265969,EXP-984465,Yes
SAL00010076-0002,CLM00010076,TPIN1000000076,UAE Buyer 1,Zimbabwe,SINV-552904,2024-01-04,Yes,118213,0,118213,EXP-248628,Yes
SAL00010077-0001,CLM00010077,TPIN1000000077,UAE Buyer 0,China,SINV-220729,2024-08-13,Yes,120213,0,120213,EXP-749485,No
SAL00010078-0001,CLM00010078,TPIN1000000078,Local Customer 0,Zambia,SINV-130195,2023-12-05,No,237089,37934,199155,N/A,Yes
SAL00010079-0001,CLM00010079,TPIN1000000079,China Buyer 0,UAE,SINV-858993,2024-11-15,Yes,212859,0,212859,EXP-344178,Yes
SAL00010079-0002,CLM00010079,TPIN1000000079,UAE Buyer 1,Botswana,SINV-622497,2024-10-21,Yes,121966,0,121966,EXP-843137,No
SAL00010079-0003,CLM00010079,TPIN1000000079,Local Customer 2,Zambia,SINV-209861,2024-11-11,No,307551,49208,258343,N/A,Yes
SAL00010080-0001,CLM00010080,TPIN1000000080,Zimbabwe Buyer 0,DRC,SINV-948290,2024-07-06,Yes,144612,0,144612,EXP-273534,Yes
SAL00010080-0002,CLM00010080,TPIN1000000080,Botswana Buyer 1,UK,SINV-775607,2024-08-04,Yes,56345,0,56345,EXP-708376,No
SAL00010081-0001,CLM00010081,TPIN1000000081,Local Customer 0,Zambia,SINV-952489,2024-09-10,No,277375,44380,232995,N/A,Yes
SAL00010081-0002,CLM00010081,TPIN1000000081,China Buyer 1,China,SINV-779209,2024-10-07,Yes,93867,0,93867,EXP-79377,Yes
SAL00010082-0001,CLM00010082,TPIN1000000082,UAE Buyer 0,Botswana,SINV-357677,2024-02-01,Yes,48096,0,48096,EXP-605382,No
SAL00010083-0001,CLM00010083,TPIN1000000083,Malawi Buyer 0,South Africa,SINV-836282,2024-10-02,Yes,29289,0,29289,EXP-189702,No
SAL00010083-0002,CLM00010083,TPIN1000000083,DRC Buyer 1,Tanzania,SINV-720433,2024-11-09,Yes,101517,0,101517,EXP-304275,No
SAL00010084-0001,CLM00010084,TPIN1000000084,Local Customer 0,Zambia,SINV-241968,2024-04-25,No,70542,11287,59256,N/A,Yes
SAL00010085-0001,CLM00010085,TPIN1000000085,Local Customer 0,Zambia,SINV-351770,2024-07-16,No,191396,30623,160772,N/A,Yes
SAL00010085-0002,CLM00010085,TPIN1000000085,Local Customer 1,Zambia,SINV-516100,2024-08-02,No,177750,28440,149310,N/A,Yes
SAL00010085-0003,CLM00010085,TPIN1000000085,Local Customer 2,Zambia,SINV-600467,2024-09-28,No,190043,30407,159636,N/A,Yes
SAL00010086-0001,CLM00010086,TPIN1000000086,Local Customer 0,Zambia,SINV-894191,2024-02-26,No,153998,24640,129358,N/A,Yes
SAL00010087-0001,CLM00010087,TPIN1000000087,Local Customer 0,Zambia,SINV-17083,2024-01-12,No,277013,44322,232691,N/A,Yes
SAL00010088-0001,CLM00010088,TPIN1000000088,Local Customer 0,Zambia,SINV-509331,2023-11-11,No,117234,18757,98476,N/A,Yes
SAL00010089-0001,CLM00010089,TPIN1000000089,Zimbabwe Buyer 0,South Africa,SINV-172351,2024-05-30,Yes,71845,0,71845,EXP-766987,No
SAL00010090-0001,CLM00010090,TPIN1000000090,Local Customer 0,Zambia,SINV-491772,2024-07-14,No,235867,37739,198129,N/A,Yes
SAL00010090-0002,CLM00010090,TPIN1000000090,Local Customer 1,Zambia,SINV-82414,2024-07-09,No,64841,10375,54466,N/A,Yes
SAL00010091-0001,CLM00010091,TPIN1000000091,UK Buyer 0,UAE,SINV-819960,2024-11-19,Yes,27733,0,27733,EXP-434866,No
SAL00010091-0002,CLM00010091,TPIN1000000091,Malawi Buyer 1,Tanzania,SINV-655897,2024-11-23,Yes,143305,0,143305,EXP-626255,Yes
SAL00010092-0001,CLM00010092,TPIN1000000092,UK Buyer 0,Tanzania,SINV-191363,2024-02-15,Yes,162601,0,162601,EXP-859652,Yes
SAL00010092-0002,CLM00010092,TPIN1000000092,Local Customer 1,Zambia,SINV-365280,2024-03-15,No,131181,20989,110192,N/A,Yes
SAL00010092-0003,CLM00010092,TPIN1000000092,Local Customer 2,Zambia,SINV-285564,2024-02-17,No,206926,33108,173817,N/A,Yes
SAL00010093-0001,CLM00010093,TPIN1000000093,UK Buyer 0,UK,SINV-133407,2024-12-02,Yes,13794,0,13794,EXP-610081,Yes
