claim_id,taxpayer_id,net_refund_amount,is_fraud,refund_to_output_ratio,input_output_vat_ratio,processing_days_zscore,total_claims_filed,is_first_time_claimant,is_high_value_claim,submitted_by_agent,has_few_documents,business_age_years,is_young_business,address_not_verified,bank_not_verified,is_small_business,claim_to_turnover_ratio,claim_exceeds_business_size,single_director,no_tax_agent,is_sole_proprietor,low_supplier_diversity,has_unverified_suppliers,unverified_supplier_ratio,has_unverified_payments,has_few_purchases,suspicious_purchase_pattern,has_export_sales,is_export_heavy,has_missing_export_docs,has_unpaid_sales,has_few_sales,single_export_destination,export_without_customs,large_export_customs_mismatch,has_unverified_customs,has_audit_issues,has_penalties,low_compliance_rating,never_audited,not_registered_pacra,directors_mismatch,address_mismatch_pacra,is_dormant_company,claim_exceeds_share_capital,supplier_risk_score,export_risk_score,legitimacy_risk_score,historical_risk_score
CLM00010010,TPIN1000000010,4125,1,0.3072396841948458,1.307239684194846,-0.7680729148432778,1,0,0,0,0,5.886379192334018,0,1,0,1,0.011396003525163756,0,1,0,0,1,0,0.0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,7,2,0
CLM00010011,TPIN1000000011,9093,1,0.9555485498108449,1.955443463640185,-1.1081957368069415,1,0,0,1,1,7.301848049281314,0,1,1,1,0.020531845472629852,0,1,0,1,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,8,0,4,5
CLM00010012,TPIN1000000012,9807,1,0.8739083942256283,1.8738192835501692,0.6302097976740062,1,0,0,1,0,0.9062286105407256,1,1,1,1,0.022972700738818172,0,1,0,1,1,1,0.5,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,8,0,6,5
CLM00010013,TPIN1000000013,6066,1,0.9213244228432563,1.9210206561360874,0.32787840037297183,1,0,0,0,1,4.15605749486653,0,0,1,1,0.017644235663694934,0,1,0,0,1,0,0.0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,7,2,6,2
CLM00010014,TPIN1000000014,1817,1,0.5471243601324902,1.5468232460102378,0.36566982503560114,1,0,0,1,1,9.070499657768652,0,0,1,1,0.005681338507093074,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,5,2,2,5
CLM00010015,TPIN1000000015,311,1,0.39820742637644047,1.3969270166453265,0.8191669209871527,1,0,0,0,1,3.885010266940452,0,0,1,1,0.0006163346518799198,0,1,0,1,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,7,0,2,5
CLM00010016,TPIN1000000016,8362,1,0.8550102249488752,1.8549079754601228,1.5372039895771095,1,0,0,1,1,7.304585900068446,0,1,1,1,0.03626963231562648,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,7,0,8,8
CLM00010017,TPIN1000000017,4835,1,0.5156233336888131,1.5155166897728485,-0.12561869557857971,1,0,0,0,1,9.713894592744696,0,0,0,1,0.013903626445358893,0,1,0,0,1,1,0.3333333333333333,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,8,2,2,5
CLM00010018,TPIN1000000018,3596,1,1.0011135857461024,2.000835189309577,-0.919238613493795,1,0,0,1,1,6.179329226557153,0,1,0,1,0.011909295940705219,0,1,0,0,1,1,0.3333333333333333,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,8,7,2,5
CLM00010019,TPIN1000000019,490,1,0.5854241338112306,1.5842293906810037,0.36566982503560114,1,0,0,1,0,3.8767967145790556,0,1,0,1,0.00791330889359022,0,1,0,0,1,0,0.0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,7,7,8,5
CLM00010020,TPIN1000000020,16201,1,1.0159277607073431,2.0158650529880227,0.8947497703124113,1,0,1,0,0,3.9069130732375084,0,1,0,1,0.03627249259482321,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,7,0,6,0
CLM00010021,TPIN1000000021,7086,1,0.7640715980159586,1.7639637696786716,1.6883696882276267,1,0,0,0,1,4.670773442847365,0,0,0,1,0.026604092359677117,0,1,0,1,1,0,0.0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,5,0,4,0
CLM00010022,TPIN1000000022,491,1,0.525695931477516,1.5235546038543897,-0.8814471888311657,1,0,0,1,1,7.657768651608487,0,1,0,1,0.0019593211411150172,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,7,0,2,5
CLM00010023,TPIN1000000023,11621,1,0.6123406049109495,1.612287912319528,-0.9570300381564243,1,0,1,1,1,4.342231348391513,0,0,0,1,0.021956532828993732,0,1,0,0,1,1,0.5,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,10,0,2,5
CLM00010024,TPIN1000000024,582,1,0.3082627118644068,1.3077330508474576,-1.2215700107948293,1,0,0,1,1,5.0951403148528405,0,0,0,1,0.0030518179816051935,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,5,7,2,0
CLM00010025,TPIN1000000025,3550,1,1.0045274476513866,2.004244482173175,0.8947497703124113,1,0,0,0,1,6.874743326488707,0,0,1,0,0.012993002078880333,0,1,0,0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,5,0,4,5
CLM00010026,TPIN1000000026,13499,1,0.639157196969697,1.6391098484848485,0.40346124969823044,1,0,1,1,1,4.323066392881588,0,1,0,1,0.0298468851915317,0,1,0,1,1,0,0.0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,7,7,6,0
CLM00010027,TPIN1000000027,1043,1,0.6514678326046222,1.650843222985634,-1.070404312144312,1,0,0,1,1,6.529774127310062,0,0,0,1,0.003727249661402775,0,1,0,0,1,1,0.5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,2
CLM00010028,TPIN1000000028,2492,1,0.7765659083826737,1.7759426612651916,1.1970811676134456,1,0,0,1,1,3.2826830937713893,0,0,0,1,0.014907783514097188,0,1,0,0,1,1,0.5,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,8,0,8,2
CLM00010029,TPIN1000000029,888,1,0.5333333333333333,1.5327327327327327,1.7261611128902559,1,0,0,1,1,2.622861054072553,0,0,0,1,0.003488591363379219,0,1,0,1,1,1,0.25,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,6,0,4,8
CLM00010030,TPIN1000000030,7631,1,1.0956209619526203,2.0954773869346734,1.234872592276075,1,0,0,1,1,2.9568788501026693,0,0,1,1,0.019693665561247534,0,1,0,1,1,0,0.0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,5,0,6,8
CLM00010031,TPIN1000000031,699,1,0.30168321104876994,1.3012516184721623,-1.5239014080958637,1,0,0,1,1,8.8870636550308,0,1,0,1,0.013437139561707036,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,5,7,6,0
CLM00010032,TPIN1000000032,1517,1,0.43742791234140715,1.4371395617070357,1.121498318288187,1,0,0,1,1,6.76249144421629,0,0,0,1,0.005406195207481005,0,1,0,0,1,0,0.0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,7,7,0,5
CLM00010033,TPIN1000000033,1320,1,0.8505154639175257,1.8498711340206186,-1.3727357094453465,1,0,0,1,1,1.3689253935660506,1,1,0,1,0.009037691280681935,0,1,0,0,1,1,0.6666666666666666,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,8,2,6,5
CLM00010034,TPIN1000000034,3905,1,1.040778251599147,2.0405117270788913,-1.3727357094453465,1,0,0,1,1,0.5366187542778919,1,0,0,1,0.04803670717905821,0,1,0,1,1,0,0.0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,5,0,2,5
CLM00010035,TPIN1000000035,2933,1,0.5994277539341917,1.5992233803392601,-0.8436557641685364,1,0,0,1,0,2.64476386036961,0,0,1,1,0.00551993330159011,0,1,0,0,1,0,0.0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,5,5,2,5
CLM00010036,TPIN1000000036,12793,1,1.0754939050021017,2.0754098360655737,-0.08782727091595041,1,0,1,1,1,5.190965092402464,0,0,1,1,0.0465733476527659,0,1,0,1,1,0,0.0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,5,7,2,5
CLM00010037,TPIN1000000037,10412,1,0.6866262199947244,1.6865602743339487,-0.6169072161927606,1,0,0,0,1,6.803559206023272,0,0,0,1,0.02866471750992473,0,1,0,0,1,0,0.0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7,7,0,5
CLM00010038,TPIN1000000038,10634,1,0.8327329678935004,1.83265465935787,-0.3145758188917262,1,0,0,1,1,1.9274469541409993,1,0,0,1,0.022258876129793905,0,1,0,0,1,0,0.0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,7,7,2,2
CLM00010039,TPIN1000000039,1244,1,0.6173697270471464,1.6168734491315135,-1.6372756820837517,1,0,0,1,1,2.598220396988364,0,0,1,1,0.002353346235118963,0,1,0,0,1,1,0.3333333333333333,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,8,2,2,0
CLM00010040,TPIN1000000040,3481,1,0.4376964667421099,1.4375707280271595,0.8191669209871527,1,0,0,0,1,1.1718001368925393,1,0,0,1,0.009248238557264157,0,1,0,1,1,1,0.3333333333333333,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,10,7,2,8
CLM00010041,TPIN1000000041,4331,1,0.6360699074754002,1.635923043031282,-1.3349442847827173,1,1,0,1,1,5.125256673511293,0,1,1,1,0.024776179171076343,0,1,0,0,1,0,0.0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,5,0,8,10
CLM00010042,TPIN1000000042,10040,1,0.786402443800423,1.786402443800423,1.3482468662639628,1,0,0,0,1,8.254620123203285,0,0,0,1,0.018888121741846033,0,1,0,0,1,0,0.0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,7,0,2
CLM00010043,TPIN1000000043,2175,1,0.3619570644033949,1.3617906473622898,-0.5791157915301313,1,0,0,1,0,9.045859000684462,0,0,0,1,0.013227111016511084,0,1,0,0,1,0,0.0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,5,0,2,5
CLM00010044,TPIN1000000044,7198,1,0.6203033436745949,1.6202171664943124,-0.5035329422048727,1,0,0,1,1,8.429842573579739,0,0,0,1,0.026902276490220922,0,1,0,0,1,1,0.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,10,0,2,5
CLM00010045,TPIN1000000045,9043,1,0.9360314667218714,1.9358244488148224,1.234872592276075,1,0,0,1,0,5.886379192334018,0,0,1,0,0.03624739458072791,0,1,0,0,1,1,0.5,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,8,0,4,2
CLM00010046,TPIN1000000046,3124,1,0.7087114337568058,1.7084845735027223,-1.1459871614695707,1,0,0,0,1,9.062286105407255,0,1,1,1,0.007835229438792913,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0,4,0
CLM00010047,TPIN1000000047,11149,1,0.6598993785143533,1.6598401894051495,-0.9570300381564243,1,0,0,0,1,4.262833675564682,0,1,1,1,0.02393552500788977,0,1,0,0,1,1,0.25,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,8,7,10,5
CLM00010048,TPIN1000000048,2585,1,0.5384294938554468,1.538221203915851,-0.8436557641685364,1,1,0,1,1,5.754962354551677,0,1,0,1,0.01607037393926207,0,1,0,0,1,1,0.25,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,10,7,2,7
CLM00010049,TPIN1000000049,18360,1,1.0827386919856106,2.0827386919856106,-1.1837785861322,1,0,1,1,1,3.216974674880219,0,1,1,1,0.04387893619868841,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,2,2
CLM00010050,TPIN1000000050,1832,1,0.39576582415208467,1.395549794772089,1.4616211402518509,1,0,0,1,1,7.592060232717317,0,0,0,1,0.005635206506325765,0,1,0,0,1,1,0.5,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,10,7,2,8
CLM00010051,TPIN1000000051,8984,1,0.8497919031403708,1.8496973136587211,0.6302097976740062,1,0,0,1,1,1.754962354551677,1,0,0,1,0.018949069103779057,0,1,0,0,1,1,0.3333333333333333,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,6,2,2,0
CLM00010052,TPIN1000000052,5449,1,0.9378657487091222,1.9376936316695352,1.1970811676134456,1,0,0,0,1,9.330595482546201,0,1,0,1,0.020779309924036732,0,1,0,0,1,1,0.3333333333333333,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,10,7,6,5
CLM00010053,TPIN1000000053,840,1,0.36971830985915494,1.3692781690140845,-0.2389929695664676,1,1,0,1,1,6.420260095824777,0,1,1,1,0.012012012012012012,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,7,0,2,10
CLM00010054,TPIN1000000054,1967,1,0.5873395043296507,1.5870409077336518,0.21450412638508398,1,0,0,0,1,1.1553730321697468,1,0,0,1,0.007859448919575502,0,1,0,1,1,0,0.0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,5,0,8,8
CLM00010055,TPIN1000000055,11127,1,0.8220908755079424,1.82201699298116,0.06333842773456677,1,0,0,1,1,8.635181382614647,0,1,1,1,0.02963059618027077,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,7,0,4,2
CLM00010056,TPIN1000000056,842,1,0.4105314480741102,1.4100438810336422,-1.5994842574211223,1,0,0,1,1,2.217659137577002,0,1,1,1,0.013053858795076121,0,1,0,1,1,1,0.5,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,8,0,4,2
CLM00010057,TPIN1000000057,69,1,0.6699029126213593,1.6601941747572815,1.6883696882276267,1,0,0,1,1,6.223134839151267,0,0,0,1,0.0001300676917508808,0,1,0,0,1,1,0.3333333333333333,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,8,7,4,0
CLM00010058,TPIN1000000058,2599,1,0.969414397612831,1.969041402461768,-0.3523672435543555,1,0,0,0,1,6.425735797399041,0,0,0,1,0.00894938552603035,0,1,0,1,1,0,0.0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,5,0,0,5
CLM00010059,TPIN1000000059,1313,1,1.01,2.0092307692307694,0.47904409902348905,1,0,0,0,0,5.842573579739904,0,0,1,1,0.006983336790430754,0,1,0,0,1,1,0.3333333333333333,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,2
CLM00010060,TPIN1000000060,14815,1,1.0913443830570901,2.0912707182320442,-1.410527134107976,1,0,1,1,0,4.024640657084189,0,1,1,1,0.051366241475076194,0,1,0,0,1,1,0.3333333333333333,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,10,0,4,0
CLM00010061,TPIN1000000061,7076,1,0.8736881096431658,1.8735646376095814,-0.20120154490383832,1,0,0,1,1,6.535249828884326,0,0,0,1,0.013273082990532892,0,1,0,0,1,1,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,8,0,6,0
CLM00010062,TPIN1000000062,8162,1,0.6902325581395349,1.690232558139535,-0.6169072161927606,1,0,0,1,1,3.7645448323066395,0,1,1,1,0.022848728651051597,0,1,0,0,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,8,0,2,2
CLM00010063,TPIN1000000063,924,1,0.5848101265822785,1.5835443037974684,-1.1459871614695707,1,0,0,1,1,5.456536618754278,0,1,1,1,0.0034225137696914923,0,1,0,0,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,8,0,8,5
CLM00010064,TPIN1000000064,1621,1,0.568971568971569,1.5686205686205685,1.7261611128902559,1,0,0,0,1,5.796030116358659,0,1,1,1,0.0032636313485783774,0,1,0,1,1,0,0.0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,5,0,6,2
CLM00010065,TPIN1000000065,6156,1,0.9170266646804708,1.9168776999851036,1.49941256491448,1,0,0,0,0,7.452429842573579,0,0,0,1,0.04034076015727392,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,7,0,4,0
CLM00010066,TPIN1000000066,1482,1,0.8260869565217391,1.8255295429208473,1.0459154689629284,1,0,0,1,1,4.1095140314852845,0,0,0,1,0.008887609520896678,0,1,0,0,1,1,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,8,0,4,5
CLM00010067,TPIN1000000067,2625,1,0.437427095484086,1.4372604565905682,0.02554700307193748,1,0,0,1,1,8.158795345653662,0,1,0,1,0.004823177711590509,0,1,0,0,1,0,0.0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,5,2,4,0
CLM00010068,TPIN1000000068,2936,1,0.4951096121416526,1.4949409780775718,-0.9948214628190536,1,0,0,0,1,0.919917864476386,1,0,0,1,0.006865042064750254,0,1,0,0,1,0,0.0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,7,0,6,2
CLM00010069,TPIN1000000069,5557,1,1.0823918971562134,2.082197117257499,-1.2593614354574587,1,0,0,0,0,6.017796030116359,0,1,0,1,0.033818159688412855,0,1,0,0,1,0,0.0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,5,0,2,5
CLM00010070,TPIN1000000070,2207,1,0.46571006541464444,1.4654990504325807,-0.6169072161927606,1,0,0,1,0,3.728952772073922,0,0,1,1,0.017641604450768174,0,1,0,0,1,0,0.0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,7,7,2,5
CLM00010071,TPIN1000000071,10328,1,0.778648974668275,1.7785735826296742,0.9703326196376699,1,0,0,1,0,1.2238193018480492,1,1,1,1,0.033415837579875436,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,7,0,4,0
CLM00010072,TPIN1000000072,7868,1,0.847936200021554,1.8478284297876926,-0.3901586682169848,1,0,0,0,0,2.297056810403833,0,0,1,1,0.029706372069667256,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,5,7,0,2
CLM00010073,TPIN1000000073,20073,1,1.0212148962148961,2.021113146113146,-1.070404312144312,1,0,1,0,1,1.2511978097193703,1,0,0,1,0.045691900061914995,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,5,7,4,0
CLM00010074,TPIN1000000074,5428,1,0.6818238914709207,1.6816982791106645,-0.8058643395059071,1,0,0,1,1,1.5085557837097878,1,0,1,1,0.02417332828608965,0,1,0,1,1,1,0.25,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,6,0,6,5
CLM00010075,TPIN1000000075,22294,1,1.028083928983168,2.0280839289831682,-0.6924900655180192,1,0,1,1,1,7.9808350444900755,0,1,0,1,0.04056301331479911,0,1,0,1,1,0,0.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,3,0,6,2
CLM00010076,TPIN1000000076,2125,1,0.38233177401943147,1.3821518531845989,-0.4279500928796141,1,0,0,1,1,4.462696783025325,0,1,1,1,0.013829863393490528,0,1,0,0,1,0,0.0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,5,0,10,5
CLM00010077,TPIN1000000077,255,1,0.7522123893805309,1.7492625368731562,0.2900869757103426,1,0,0,1,1,7.871321013004791,0,1,1,0,0.003484939594380364,0,1,0,0,1,0,0.0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,5,2,8,2
CLM00010078,TPIN1000000078,2157,1,0.5679304897314376,1.5676671932596102,-0.919238613493795,1,0,0,0,1,4.769336071184121,0,0,1,1,0.004100939774933124,0,1,0,0,1,1,0.3333333333333333,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,8,0,4,5
CLM00010079,TPIN1000000079,8966,1,0.9333749739745992,1.9333749739745991,-0.16341012024120902,1,0,0,1,1,8.095824777549623,0,1,0,1,0.016412948765825334,0,1,0,0,1,1,0.5,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,10,2,2,0
CLM00010080,TPIN1000000080,2038,1,0.37223744292237443,1.372054794520548,1.1592897429508164,1,0,0,1,1,5.4811772758384665,0,1,1,1,0.0061520442415899925,0,1,0,0,1,1,0.25,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,8,2,6,8
CLM00010081,TPIN1000000081,2706,1,0.48520710059171596,1.4850277927201003,-0.4279500928796141,1,0,0,1,1,9.711156741957563,0,1,1,1,0.015787815493763055,0,1,0,1,1,1,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,6,5,6,8
CLM00010082,TPIN1000000082,2011,1,0.8316790736145575,1.8312655086848635,-1.5994842574211223,1,0,0,1,1,3.975359342915811,0,1,0,1,0.006206292087671977,0,1,0,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,10,7,8,5
CLM00010083,TPIN1000000083,3422,1,0.9005263157894737,1.9002631578947369,1.121498318288187,1,0,0,1,1,6.132785763175907,0,1,0,1,0.04173068949537816,0,1,0,0,1,1,0.5,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,8,7,6,5
CLM00010084,TPIN1000000084,531,1,0.30153321976149916,1.3009653605905735,-0.4657415175422434,1,0,0,1,0,5.921971252566735,0,0,0,1,0.007433331000209981,0,1,0,0,1,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0
CLM00010085,TPIN1000000085,1063,1,0.37910128388017117,1.3787446504992866,0.9703326196376699,1,0,0,1,1,5.19917864476386,0,0,0,1,0.00594944927017104,0,1,0,0,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,8,0,2,5
CLM00010086,TPIN1000000086,4550,1,0.3310535506402794,1.3309807916181606,-0.6546986408553899,1,0,0,0,1,6.891170431211499,0,1,0,1,0.014907426519492688,0,1,0,0,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,8,0,2,0
