claim_id,taxpayer_id,claim_date,refund_period_start,refund_period_end,input_vat_claimed,output_vat_paid,net_refund_amount,claim_status,processing_days,submitted_by,supporting_docs_count,previous_refunds_count,sector
CLM00010043,TPIN1000000043,2024-10-19,2024-06-30,2024-09-29,8183,6008,2175,Pending,29,Tax Agent,5,3,Hospitality
CLM00010044,TPIN1000000044,2024-02-12,2023-10-31,2024-01-30,18801,11603,7198,Approved,31,Tax Agent,2,7,Construction
CLM00010045,TPIN1000000045,2024-04-09,2023-12-31,2024-03-30,18702,9660,9043,Under Review,77,Tax Agent,5,7,Professional Services
CLM00010046,TPIN1000000046,2024-01-25,2023-09-30,2023-12-30,7531,4407,3124,Under Review,14,Taxpayer,4,9,Healthcare
CLM00010047,TPIN1000000047,2024-07-20,2024-03-31,2024-06-29,28043,16894,11149,Approved,19,Taxpayer,2,3,Agriculture
CLM00010048,TPIN1000000048,2024-05-11,2024-01-31,2024-04-29,7385,4800,2585,Pending,22,Tax Agent,4,0,Manufacturing
CLM00010049,TPIN1000000049,2024-09-09,2024-05-31,2024-08-30,35317,16956,18360,Query Raised,13,Tax Agent,2,5,Retail
CLM00010050,TPIN1000000050,2024-06-14,2024-02-29,2024-05-30,6460,4628,1832,Query Raised,83,Tax Agent,2,2,Construction
CLM00010051,TPIN1000000051,2024-02-04,2023-10-31,2024-01-30,19555,10571,8984,Query Raised,61,Tax Agent,1,2,Real Estate
CLM00010052,TPIN1000000052,2024-05-13,2024-01-31,2024-04-29,11258,5809,5449,Approved,76,Taxpayer,1,2,Hospitality
CLM00010053,TPIN1000000053,2024-01-13,2023-09-30,2023-12-30,3111,2271,840,Approved,38,Tax Agent,4,0,Healthcare
CLM00010054,TPIN1000000054,2024-09-12,2024-05-31,2024-08-30,5315,3348,1967,Query Raised,50,Taxpayer,1,9,Manufacturing
CLM00010055,TPIN1000000055,2024-10-21,2024-06-30,2024-09-29,24661,13534,11127,Approved,46,Tax Agent,1,2,Transport
CLM00010056,TPIN1000000056,2024-06-29,2024-02-29,2024-05-30,2892,2050,842,Query Raised,2,Tax Agent,1,6,Transport
CLM00010057,TPIN1000000057,2024-01-21,2023-09-30,2023-12-30,171,102,69,Query Raised,89,Tax Agent,1,6,Professional Services
CLM00010058,TPIN1000000058,2024-10-25,2024-06-30,2024-09-29,5279,2680,2599,Under Review,35,Taxpayer,1,2,Real Estate
CLM00010059,TPIN1000000059,2024-09-02,2024-05-31,2024-08-30,2612,1299,1313,Pending,57,Taxpayer,5,9,Education
CLM00010060,TPIN1000000060,2024-09-20,2024-05-31,2024-08-30,28389,13574,14815,Under Review,7,Tax Agent,5,3,Transport
CLM00010061,TPIN1000000061,2024-01-18,2023-09-30,2023-12-30,15174,8098,7076,Under Review,39,Tax Agent,4,6,Transport
CLM00010062,TPIN1000000062,2024-11-05,2024-07-31,2024-10-30,19987,11824,8162,Under Review,28,Tax Agent,2,6,Education
CLM00010063,TPIN1000000063,2024-08-14,2024-04-30,2024-07-30,2502,1579,924,Pending,14,Tax Agent,1,7,Manufacturing
CLM00010064,TPIN1000000064,2024-04-11,2023-12-31,2024-03-30,4469,2848,1621,Approved,90,Taxpayer,2,1,Construction
CLM00010065,TPIN1000000065,2024-10-19,2024-06-30,2024-09-29,12868,6712,6156,Approved,84,Taxpayer,5,8,ICT
CLM00010066,TPIN1000000066,2024-12-10,2024-08-31,2024-11-29,3275,1793,1482,Approved,72,Tax Agent,1,4,Real Estate
CLM00010067,TPIN1000000067,2024-12-21,2024-08-31,2024-11-29,8625,6000,2625,Approved,45,Tax Agent,4,6,Import/Export
CLM00010068,TPIN1000000068,2024-03-02,2023-11-30,2024-02-28,8865,5929,2936,Query Raised,18,Taxpayer,1,3,Import/Export
CLM00010069,TPIN1000000069,2024-05-05,2024-01-31,2024-04-29,10690,5133,5557,Query Raised,11,Taxpayer,5,1,Retail
CLM00010070,TPIN1000000070,2024-05-19,2024-01-31,2024-04-29,6945,4738,2207,Under Review,28,Tax Agent,5,8,Construction
CLM00010071,TPIN1000000071,2024-07-19,2024-03-31,2024-06-29,23591,13263,10328,Pending,70,Tax Agent,5,8,Retail
CLM00010072,TPIN1000000072,2024-10-05,2024-06-30,2024-09-29,17146,9278,7868,Under Review,34,Taxpayer,5,3,Import/Export
CLM00010073,TPIN1000000073,2024-06-21,2024-02-29,2024-05-30,39727,19655,20073,Under Review,16,Taxpayer,4,8,ICT
CLM00010074,TPIN1000000074,2024-06-25,2024-02-29,2024-05-30,13388,7960,5428,Pending,23,Tax Agent,4,3,Professional Services
CLM00010075,TPIN1000000075,2024-09-08,2024-05-31,2024-08-30,43979,21684,22294,Approved,26,Tax Agent,2,9,Mining
CLM00010076,TPIN1000000076,2024-03-10,2023-11-30,2024-02-28,7682,5557,2125,Approved,33,Tax Agent,3,4,Hospitality
CLM00010077,TPIN1000000077,2024-08-31,2024-05-31,2024-08-30,593,338,255,Approved,52,Tax Agent,2,8,Mining
CLM00010078,TPIN1000000078,2024-02-06,2023-10-31,2024-01-30,5954,3797,2157,Query Raised,20,Taxpayer,3,8,Professional Services
CLM00010079,TPIN1000000079,2024-11-18,2024-07-31,2024-10-30,18572,9605,8966,Query Raised,40,Tax Agent,4,2,Import/Export
CLM00010080,TPIN1000000080,2024-09-15,2024-05-31,2024-08-30,7512,5474,2038,Query Raised,75,Tax Agent,4,3,Agriculture
CLM00010081,TPIN1000000081,2024-11-26,2024-07-31,2024-10-30,8282,5576,2706,Approved,33,Tax Agent,4,2,Professional Services
CLM00010082,TPIN1000000082,2024-03-25,2023-11-30,2024-02-28,4428,2417,2011,Query Raised,2,Tax Agent,3,6,Mining
CLM00010083,TPIN1000000083,2024-12-24,2024-08-31,2024-11-29,7221,3799,3422,Query Raised,74,Tax Agent,1,2,Mining
CLM00010084,TPIN1000000084,2024-06-21,2024-02-29,2024-05-30,2291,1760,531,Under Review,32,Tax Agent,5,5,Agriculture
CLM00010085,TPIN1000000085,2024-09-30,2024-06-30,2024-09-29,3866,2803,1063,Approved,70,Tax Agent,4,4,Transport
CLM00010086,TPIN1000000086,2024-03-03,2023-11-30,2024-02-28,18293,13743,4550,Under Review,27,Taxpayer,3,9,Wholesale
CLM00010087,TPIN1000000087,2024-02-24,2023-10-31,2024-01-30,5878,3226,2652,Query Raised,64,Tax Agent,4,7,Wholesale
CLM00010088,TPIN1000000088,2024-01-12,2023-09-30,2023-12-30,9957,7001,2956,Query Raised,61,Taxpayer,1,3,Professional Services
CLM00010089,TPIN1000000089,2024-06-29,2024-02-29,2024-05-30,2056,1345,711,Under Review,54,Tax Agent,1,7,Transport
CLM00010090,TPIN1000000090,2024-09-13,2024-05-31,2024-08-30,4791,2824,1967,Approved,19,Tax Agent,3,3,Healthcare
CLM00010091,TPIN1000000091,2024-12-15,2024-08-31,2024-11-29,27943,15960,11983,Approved,17,Tax Agent,2,6,Healthcare
CLM00010092,TPIN1000000092,2024-04-08,2023-12-31,2024-03-30,31189,15988,15201,Query Raised,7,Tax Agent,2,7,Real Estate
CLM00010093,TPIN1000000093,2024-12-04,2024-08-31,2024-11-29,8448,5640,2808,Query Raised,24,Taxpayer,2,7,ICT
CLM00010094,TPIN1000000094,2024-12-01,2024-08-31,2024-11-29,21111,12126,8985,Under Review,9,Tax Agent,3,9,Healthcare
CLM00010095,TPIN1000000095,2024-01-05,2023-09-30,2023-12-30,29133,15012,14121,Approved,88,Tax Agent,3,0,Transport
CLM00010096,TPIN1000000096,2024-04-21,2023-12-31,2024-03-30,15994,7842,8152,Query Raised,48,Taxpayer,5,7,Real Estate
CLM00010097,TPIN1000000097,2024-03-13,2023-11-30,2024-02-28,25086,14963,10123,Pending,9,Tax Agent,2,4,Professional Services
CLM00010098,TPIN1000000098,2024-07-20,2024-03-31,2024-06-29,23135,11492,11644,Approved,85,Taxpayer,1,6,Retail
CLM00010099,TPIN1000000099,2024-12-05,2024-08-31,2024-11-29,30850,16375,14476,Approved,67,Tax Agent,2,5,Healthcare
CLM00010100,TPIN1000000100,2024-01-13,2023-09-30,2023-12-30,9881,4772,5109,Under Review,90,Tax Agent,3,7,Transport
CLM00010101,TPIN1000000101,2024-02-22,2023-10-31,2024-01-30,1503,801,702,Query Raised,21,Taxpayer,2,0,Import/Export
CLM00010102,TPIN1000000102,2024-02-02,2023-10-31,2024-01-30,9710,6807,2903,Under Review,89,Taxpayer,3,5,Professional Services
CLM00010103,TPIN1000000103,2024-10-23,2024-06-30,2024-09-29,30056,19759,10297,Query Raised,63,Tax Agent,2,9,Hospitality
CLM00010104,TPIN1000000104,2024-11-04,2024-07-31,2024-10-30,7518,5090,2428,Pending,55,Tax Agent,1,8,Import/Export
CLM00010105,TPIN1000000105,2024-01-25,2023-09-30,2023-12-30,1467,1016,451,Query Raised,78,Taxpayer,1,2,Mining
CLM00010106,TPIN1000000106,2024-05-01,2024-01-31,2024-04-29,21385,15655,5730,Pending,79,Tax Agent,1,0,Retail
CLM00010107,TPIN1000000107,2024-03-26,2023-11-30,2024-02-28,6732,3504,3228,Approved,23,Tax Agent,1,2,Import/Export
CLM00010108,TPIN1000000108,2024-05-10,2024-01-31,2024-04-29,3587,1866,1721,Under Review,27,Taxpayer,3,3,Manufacturing
CLM00010109,TPIN1000000109,2024-10-20,2024-06-30,2024-09-29,19366,10538,8828,Query Raised,80,Tax Agent,2,9,Manufacturing
CLM00010110,TPIN1000000110,2024-06-03,2024-02-29,2024-05-30,4572,3052,1520,Pending,33,Taxpayer,2,2,Manufacturing
CLM00010111,TPIN1000000111,2024-11-02,2024-07-31,2024-10-30,7571,4094,3477,Pending,58,Tax Agent,1,6,Hospitality
CLM00010112,TPIN1000000112,2024-09-16,2024-05-31,2024-08-30,6783,4853,1930,Approved,26,Taxpayer,1,4,Import/Export
CLM00010113,TPIN1000000113,2024-10-13,2024-06-30,2024-09-29,21764,15299,6464,Under Review,4,Taxpayer,3,9,Retail
CLM00010114,TPIN1000000114,2024-03-18,2023-11-30,2024-02-28,4186,2103,2083,Pending,6,Tax Agent,2,7,Education
CLM00010115,TPIN1000000115,2024-11-07,2024-07-31,2024-10-30,358,192,166,Pending,67,Tax Agent,3,2,Agriculture
CLM00010116,TPIN1000000116,2024-06-29,2024-02-29,2024-05-30,4012,1975,2037,Approved,84,Tax Agent,3,3,Real Estate
CLM00010117,TPIN1000000117,2024-07-21,2024-03-31,2024-06-29,5723,2786,2936,Under Review,53,Tax Agent,5,4,Manufacturing
CLM00010118,TPIN1000000118,2024-09-07,2024-05-31,2024-08-30,16390,11066,5324,Approved,69,Tax Agent,5,7,Hospitality
CLM00010119,TPIN1000000119,2024-08-26,2024-04-30,2024-07-30,42046,23553,18494,Pending,52,Taxpayer,4,4,Agriculture
CLM00010120,TPIN1000000120,2024-06-22,2024-02-29,2024-05-30,1458,747,710,Approved,87,Taxpayer,2,2,Hospitality
CLM00010121,TPIN1000000121,2024-08-03,2024-04-30,2024-07-30,2025,1270,754,Query Raised,88,Tax Agent,2,7,Hospitality
CLM00010122,TPIN1000000122,2024-01-06,2023-09-30,2023-12-30,3102,2212,890,Pending,88,Taxpayer,4,9,Retail
CLM00010123,TPIN1000000123,2024-07-12,2024-03-31,2024-06-29,6144,4397,1747,Query Raised,23,Tax Agent,2,8,Healthcare
CLM00010124,TPIN1000000124,2024-11-23,2024-07-31,2024-10-30,26457,12836,13621,Pending,45,Tax Agent,5,9,Real Estate
CLM00010125,TPIN1000000125,2024-07-18,2024-03-31,2024-06-29,41594,21626,19968,Approved,81,Tax Agent,4,4,Real Estate
CLM00010126,TPIN1000000126,2024-10-15,2024-06-30,2024-09-29,8343,3996,4347,Under Review,72,Tax Agent,3,1,Mining
CLM00010127,TPIN1000000127,2024-11-20,2024-07-31,2024-10-30,13563,7251,6312,Approved,47,Tax Agent,2,4,Transport
CLM00010128,TPIN1000000128,2024-08-17,2024-04-30,2024-07-30,18860,14456,4403,Under Review,13,Taxpayer,3,5,Agriculture
CLM00010129,TPIN1000000129,2024-02-16,2023-10-31,2024-01-30,22516,14907,7609,Pending,9,Tax Agent,1,4,Manufacturing
CLM00010130,TPIN1000000130,2024-01-14,2023-09-30,2023-12-30,183,107,75,Approved,66,Tax Agent,2,7,Retail
CLM00010131,TPIN1000000131,2024-09-06,2024-05-31,2024-08-30,35741,17829,17911,Approved,66,Tax Agent,5,6,Real Estate
CLM00010132,TPIN1000000132,2024-02-14,2023-10-31,2024-01-30,28140,20087,8052,Query Raised,81,Tax Agent,2,8,Agriculture
CLM00010133,TPIN1000000133,2024-03-25,2023-11-30,2024-02-28,24901,14910,9991,Pending,11,Taxpayer,1,9,Retail
CLM00010134,TPIN1000000134,2024-03-06,2023-11-30,2024-02-28,11165,6129,5036,Query Raised,75,Tax Agent,1,9,Wholesale
CLM00010135,TPIN1000000135,2024-10-06,2024-06-30,2024-09-29,15271,8842,6429,Query Raised,84,Tax Agent,5,1,Retail
CLM00010136,TPIN1000000136,2024-10-16,2024-06-30,2024-09-29,2908,1772,1136,Approved,42,Tax Agent,1,0,Manufacturing
CLM00010137,TPIN1000000137,2024-01-02,2023-09-30,2023-12-30,30171,16165,14006,Under Review,2,Tax Agent,4,5,ICT
CLM00010138,TPIN1000000138,2024-06-07,2024-02-29,2024-05-30,21284,12495,8790,Under Review,74,Tax Agent,4,6,ICT
CLM00010139,TPIN1000000139,2024-04-30,2024-01-31,2024-04-29,9938,6958,2980,Under Review,12,Taxpayer,4,9,Import/Export
CLM00010140,TPIN1000000140,2024-06-01,2024-02-29,2024-05-30,10433,7707,2726,Pending,7,Tax Agent,1,2,Agriculture
CLM00010141,TPIN1000000141,2024-12-04,2024-08-31,2024-11-29,32390,19540,12850,Pending,46,Tax Agent,5,7,Healthcare
CLM00010142,TPIN1000000142,2024-04-30,2024-01-31,2024-04-29,8566,6281,2285,Pending,72,Tax Agent,5,3,Real Estate
CLM00010143,TPIN1000000143,2024-04-08,2023-12-31,2024-03-30,20573,12450,8123,Approved,69,Tax Agent,2,9,Manufacturing
CLM00010144,TPIN1000000144,2024-05-24,2024-01-31,2024-04-29,5986,3632,2354,Approved,25,Tax Agent,2,2,ICT
CLM00010145,TPIN1000000145,2024-09-01,2024-05-31,2024-08-30,1999,1423,576,Under Review,17,Tax Agent,2,0,Import/Export
CLM00010146,TPIN1000000146,2024-03-03,2023-11-30,2024-02-28,6705,4162,2542,Query Raised,85,Tax Agent,5,4,Healthcare
CLM00010147,TPIN1000000147,2024-12-23,2024-08-31,2024-11-29,20968,10284,10684,Under Review,27,Tax Agent,2,4,Professional Services
CLM00010148,TPIN1000000148,2024-07-09,2024-03-31,2024-06-29,13637,8114,5523,Approved,50,Tax Agent,4,5,Healthcare
CLM00010149,TPIN1000000149,2024-12-02,2024-08-31,2024-11-29,6719,4073,2646,Approved,73,Tax Agent,3,2,Wholesale
CLM00010150,TPIN1000000150,2024-03-01,2023-11-30,2024-02-28,81231,91887,0,Approved,7,Tax Agent,15,2,Agriculture
CLM00010151,TPIN1000000151,2024-02-09,2023-10-31,2024-01-30,100434,94884,5550,Under Review,10,Taxpayer,14,4,ICT
CLM00010152,TPIN1000000152,2024-04-30,2024-01-31,2024-04-29,132278,122681,9597,Under Review,71,Tax Agent,14,0,Real Estate
CLM00010153,TPIN1000000153,2024-07-26,2024-03-31,2024-06-29,9908,10950,0,Approved,37,Taxpayer,15,2,Import/Export
CLM00010154,TPIN1000000154,2024-01-09,2023-09-30,2023-12-30,114458,121614,0,Query Raised,9,Tax Agent,6,6,ICT
CLM00010155,TPIN1000000155,2024-04-16,2023-12-31,2024-03-30,47473,47254,219,Query Raised,15,Tax Agent,15,4,Mining
CLM00010156,TPIN1000000156,2024-05-30,2024-01-31,2024-04-29,126719,123129,3591,Pending,51,Taxpayer,7,5,Real Estate
CLM00010157,TPIN1000000157,2024-03-24,2023-11-30,2024-02-28,61185,66781,0,Under Review,31,Tax Agent,7,1,Retail
CLM00010158,TPIN1000000158,2024-02-10,2023-10-31,2024-01-30,63981,77598,0,Query Raised,40,Tax Agent,7,8,Import/Export
CLM00010159,TPIN1000000159,2024-05-13,2024-01-31,2024-04-29,183454,179576,3878,Under Review,2,Taxpayer,6,9,Retail
CLM00010160,TPIN1000000160,2024-04-25,2023-12-31,2024-03-30,54211,64198,0,Query Raised,22,Tax Agent,10,7,ICT
CLM00010161,TPIN1000000161,2024-02-20,2023-10-31,2024-01-30,17390,14687,2703,Approved,30,Tax Agent,5,8,Agriculture
CLM00010162,TPIN1000000162,2024-09-29,2024-05-31,2024-08-30,4501,4291,209,Approved,28,Tax Agent,7,7,Real Estate
CLM00010163,TPIN1000000163,2024-12-22,2024-08-31,2024-11-29,43641,45564,0,Under Review,26,Tax Agent,8,1,Professional Services
CLM00010164,TPIN1000000164,2024-03-31,2023-12-31,2024-03-30,19169,19198,0,Pending,42,Tax Agent,11,9,Professional Services
CLM00010165,TPIN1000000165,2024-07-16,2024-03-31,2024-06-29,169994,149763,20231,Approved,65,Tax Agent,17,2,Education
CLM00010166,TPIN1000000166,2024-11-11,2024-07-31,2024-10-30,2497,2364,133,Under Review,34,Tax Agent,18,5,Wholesale
CLM00010167,TPIN1000000167,2024-07-21,2024-03-31,2024-06-29,90968,81653,9315,Pending,12,Taxpayer,19,3,Professional Services
CLM00010168,TPIN1000000168,2024-06-19,2024-02-29,2024-05-30,788,850,0,Pending,24,Tax Agent,14,0,Construction
CLM00010169,TPIN1000000169,2024-07-02,2024-03-31,2024-06-29,171556,176223,0,Pending,37,Taxpayer,10,0,Professional Services
CLM00010170,TPIN1000000170,2024-05-03,2024-01-31,2024-04-29,197679,229445,0,Approved,73,Tax Agent,12,9,Manufacturing
CLM00010171,TPIN1000000171,2024-10-11,2024-06-30,2024-09-29,1515,1702,0,Under Review,63,Taxpayer,7,3,Mining
CLM00010172,TPIN1000000172,2024-04-24,2023-12-31,2024-03-30,14891,16075,0,Approved,54,Tax Agent,6,8,Import/Export
CLM00010173,TPIN1000000173,2024-08-02,2024-04-30,2024-07-30,19872,21938,0,Approved,54,Tax Agent,9,8,Hospitality
CLM00010174,TPIN1000000174,2024-01-17,2023-09-30,2023-12-30,25368,24321,1046,Approved,23,Taxpayer,14,6,Professional Services
CLM00010175,TPIN1000000175,2024-10-23,2024-06-30,2024-09-29,111796,133091,0,Query Raised,76,Tax Agent,9,8,Construction
CLM00010176,TPIN1000000176,2024-11-30,2024-08-31,2024-11-29,42010,35922,6088,Query Raised,57,Tax Agent,9,7,Wholesale
CLM00010177,TPIN1000000177,2024-08-07,2024-04-30,2024-07-30,94920,89441,5480,Under Review,44,Tax Agent,15,6,Wholesale
CLM00010178,TPIN1000000178,2024-09-24,2024-05-31,2024-08-30,92467,114934,0,Query Raised,55,Taxpayer,6,5,Retail
CLM00010179,TPIN1000000179,2024-08-01,2024-04-30,2024-07-30,91387,90636,751,Approved,26,Tax Agent,8,9,Hospitality
CLM00010180,TPIN1000000180,2024-11-29,2024-07-31,2024-10-30,52618,53287,0,Under Review,72,Tax Agent,19,1,Wholesale
CLM00010181,TPIN1000000181,2024-02-12,2023-10-31,2024-01-30,136338,116790,19548,Under Review,33,Tax Agent,15,6,Transport
CLM00010182,TPIN1000000182,2024-10-26,2024-06-30,2024-09-29,82691,88213,0,Pending,54,Taxpayer,19,8,Hospitality
CLM00010183,TPIN1000000183,2024-12-17,2024-08-31,2024-11-29,191129,167403,23725,Approved,1,Tax Agent,10,8,Healthcare
CLM00010184,TPIN1000000184,2024-03-03,2023-11-30,2024-02-28,41944,47574,0,Under Review,75,Tax Agent,12,1,Manufacturing
CLM00010185,TPIN1000000185,2024-02-24,2023-10-31,2024-01-30,20027,24759,0,Query Raised,7,Taxpayer,7,9,Retail
CLM00010186,TPIN1000000186,2024-09-12,2024-05-31,2024-08-30,35640,34118,1522,Approved,84,Tax Agent,19,3,Transport
CLM00010187,TPIN1000000187,2024-05-16,2024-01-31,2024-04-29,85108,71961,13148,Pending,85,Taxpayer,5,6,Healthcare
CLM00010188,TPIN1000000188,2024-01-15,2023-09-30,2023-12-30,23359,24348,0,Query Raised,54,Tax Agent,7,4,Agriculture
CLM00010189,TPIN1000000189,2024-09-30,2024-06-30,2024-09-29,23187,20035,3152,Pending,58,Tax Agent,8,9,Real Estate
CLM00010190,TPIN1000000190,2024-02-17,2023-10-31,2024-01-30,146526,142155,4371,Query Raised,23,Tax Agent,9,6,Mining
CLM00010191,TPIN1000000191,2024-09-17,2024-05-31,2024-08-30,39956,39903,53,Query Raised,61,Taxpayer,11,7,Healthcare
CLM00010192,TPIN1000000192,2024-11-23,2024-07-31,2024-10-30,20545,23011,0,Query Raised,83,Tax Agent,12,7,Construction
CLM00010193,TPIN1000000193,2024-07-15,2024-03-31,2024-06-29,34607,39516,0,Under Review,10,Taxpayer,14,7,Construction
CLM00010194,TPIN1000000194,2024-07-09,2024-03-31,2024-06-29,90824,105296,0,Pending,71,Tax Agent,18,9,Healthcare
CLM00010195,TPIN1000000195,2024-09-08,2024-05-31,2024-08-30,3688,3292,396,Query Raised,7,Taxpayer,15,0,Hospitality
CLM00010196,TPIN1000000196,2024-04-07,2023-12-31,2024-03-30,41529,43294,0,Approved,36,Tax Agent,10,1,Real Estate
CLM00010197,TPIN1000000197,2024-12-24,2024-08-31,2024-11-29,180550,159407,21142,Approved,6,Tax Agent,17,0,Wholesale
CLM00010198,TPIN1000000198,2024-09-10,2024-05-31,2024-08-30,129181,127177,2004,Pending,16,Tax Agent,9,7,Agriculture
CLM00010199,TPIN1000000199,2024-07-25,2024-03-31,2024-06-29,94646,88748,5898,Query Raised,53,Tax Agent,18,3,Mining
CLM00010200,TPIN1000000200,2024-10-11,2024-06-30,2024-09-29,167907,157116,10791,Under Review,74,Tax Agent,12,2,Healthcare
